image,gt_index,tier
Image_013419_jpg.rf.j7n73RaanBdwsMt2a6Vg.jpg,1,no
frame_000310_png.rf.F8ksWWvwtYsO4thABPDH.png,23,partial
bus-damri-7_jpg.rf.tKAWw1e6rqRnsJ2Dorz8.jpg,5,heavy
frame_000115_png.rf.npUVFy66bS8ZjYvVBYav.png,31,partial
frame_000040_png.rf.Uu3V6k9JpUiPFe0INjvZ.png,28,heavy
night-traffic-8_mp4-0015_jpg.rf.KQUFiqW92mtDvp2xYRrL.jpg,5,partial
frame_000410_png.rf.5H1DgVt7gJwaX50bu7JL.png,0,no
night-traffic-8_mp4-0095_jpg.rf.8IWv9Scun4HNSQkgV3wb.jpg,1,partial
night-traffic-8_mp4-0063_jpg.rf.WuPiyS5e0katm6PaQhad.jpg,7,partial
frame_000125_png.rf.djaBIRGC1Sa7Vo2sFLi9.png,30,heavy
Image_013543_jpg.rf.DOaERBzM0DfJTntxqkbW.jpg,0,no
frame_000065_png.rf.iv3Uwv1CCZidhcbbVlP3.png,24,no
frame_000200_png.rf.Zax3plmPPHEKNFB0Vk8i.png,9,no
frame_001586_png.rf.ot31RwjuKdOREYWoU5JO.png,3,partial
frame_000235_png.rf.SsXdJnFvNPfAzbPbvRvL.png,9,no
frame_000010_png.rf.vpj0DfwtuhNJALAwxjOD.png,31,partial
frame_001534_png.rf.DHzh1lCExy4Tfr5ecECH.png,2,no
frame_000300_png.rf.0fl67wthxjqvBsj6t4fM.png,12,no
frame_000235_png.rf.34VJJbGkBtVJfiFKriRL.png,5,no
frame_000010_png.rf.vpj0DfwtuhNJALAwxjOD.png,16,partial
frame_000858_png.rf.f7OGwKyfatY8jYugjDQT.png,4,partial
frame_000260_png.rf.ImBZPwKJDBV0aqEgRzT2.png,30,heavy
frame_000280_png.rf.x884gHYk8WDjc6cTwD2b.png,30,partial
frame_000290_png.rf.3FoXpoPlW58FMMo0mah9.png,7,partial
frame_003075_png.rf.2r8fBlXjKEXOkVy1WyCq.png,0,partial
frame_000300_png.rf.0fl67wthxjqvBsj6t4fM.png,17,partial
Image_013560_jpg.rf.YlS3Wu107FzXdWWGMDN0.jpg,0,no
night-traffic-12_mp4-0031_jpg.rf.d9aVLJqFVXAWBr8ZGkaI.jpg,13,heavy
frame_000305_png.rf.ErcbZh3iZUY0grHe2P0v.png,3,no
frame_000125_png.rf.djaBIRGC1Sa7Vo2sFLi9.png,9,no
night-traffic-8_mp4-0086_jpg.rf.kWVCUxqosNErHJKCrPhl.jpg,0,no
frame_000085_png.rf.1DzEaDGfQlCu1FhGHbPd.png,26,heavy
night-traffic-12_mp4-0030_jpg.rf.aV5oGJHlHMLV0sRdXqG8.jpg,5,no
frame_000075_png.rf.kQdSELRlnijypWJiHCnI.png,26,partial
frame_000235_png.rf.34VJJbGkBtVJfiFKriRL.png,20,no
frame_000115_png.rf.SbCxjWBpjP7u8FVID7yO.png,11,partial
frame_000225_png.rf.3bjSOJk1lhfKjiZkdXv5.png,16,no
frame_000285_png.rf.Ht5Nf1ZZ7MZ9fDq6h3CQ.png,10,partial
frame_000275_png.rf.aTwOKBpK6u0GDLsVnkoL.png,24,partial
frame_001968_png.rf.z53zutEcvMwaNtQmsn7X.png,1,no
frame_001118_png.rf.Br89S5IHoewk5Nq5bSwr.png,0,no
frame_000615_png.rf.pEOXYxaEGQkj4kfSmx7F.png,8,partial
frame_000300_png.rf.0fl67wthxjqvBsj6t4fM.png,13,no
frame_000050_png.rf.IjKD6QbrHwJqzK3TGfiu.png,13,partial
frame_000085_png.rf.1DzEaDGfQlCu1FhGHbPd.png,24,no
frame_000175_png.rf.2iCNcxgFFykZAZnFAQBm.png,7,partial
frame_000095_png.rf.8h2BJ7q6nBuQfVlV25gr.png,3,no
frame_000235_png.rf.34VJJbGkBtVJfiFKriRL.png,22,partial
night-traffic-8_mp4-0018_jpg.rf.K12yb8HecJ4H5yRc7sr1.jpg,2,partial
frame_002548_png.rf.Lym2Z6LbGHd950ijP3bU.png,1,partial
night-traffic-8_mp4-0009_jpg.rf.E5taq7KrSvIpqMHB5icB.jpg,4,partial
night-traffic-8_mp4-0040_jpg.rf.mAsHYlerSHUoUH5RiUSm.jpg,4,partial
frame_000235_png.rf.34VJJbGkBtVJfiFKriRL.png,3,no
night-traffic-8_mp4-0097_jpg.rf.bQNhoZQdO48lOkYJOeYq.jpg,5,partial
frame_000020_png.rf.JkoECWVZhyFn7JNrjBrL.png,13,no
frame_000085_png.rf.1DzEaDGfQlCu1FhGHbPd.png,25,heavy
frame_001394_png.rf.HYVYc1RdOk4IFkzVSWa4.png,5,no
frame_000055_png.rf.gL6JbMwe3nk99o0ZEm7q.png,6,partial
frame_003403_png.rf.OLwdgtQiWufUod83T4e8.png,6,partial
bus-damri-7_jpg.rf.tKAWw1e6rqRnsJ2Dorz8.jpg,4,partial
frame_000936_png.rf.oWNnHxVUpY9YYFyCTomO.png,1,no
frame_000105_png.rf.hFCiUV7E2vcMFlNUP0QY.png,33,partial
frame_000697_png.rf.u5ii6MAxJYoazUnCKCM1.png,7,no
frame_002009_png.rf.abztcHFPFZCt5AtJkidV.png,2,partial
frame_003157_png.rf.sCy44p30U4omuNGAkNiz.png,8,partial
night-traffic-12_mp4-0019_jpg.rf.WxRBWiIqyBw2oBEag42t.jpg,11,partial
night-traffic-8_mp4-0074_jpg.rf.QSpq3wXkxk26mhpidFCz.jpg,0,no
frame_001394_png.rf.HYVYc1RdOk4IFkzVSWa4.png,0,no
frame_000235_png.rf.SsXdJnFvNPfAzbPbvRvL.png,4,no
night-traffic-8_mp4-0065_jpg.rf.MapdCXtF4suaTPvAf039.jpg,7,no
frame_000806_png.rf.iZ4hkx0RbikQwJ3EfAMt.png,2,no
frame_000265_png.rf.IQzvPiwKezUL8MtIUl0p.png,24,partial
Image_013473_jpg.rf.7YCmpMUVxQA4csbNh9BP.jpg,0,no
frame_000115_png.rf.npUVFy66bS8ZjYvVBYav.png,9,partial
night-traffic-12_mp4-0025_jpg.rf.RzdKmh4xeTINrGXGpqtR.jpg,12,partial
frame_000085_png.rf.1DzEaDGfQlCu1FhGHbPd.png,34,no
frame_000182_png.rf.PuZulIv7Pb4v5HNjucv3.png,2,partial
frame_002522_png.rf.rKtswerWn5DR27lT3qaP.png,5,partial
night-traffic-8_mp4-0017_jpg.rf.TGAqZlHFl4uyYRFjs9Bn.jpg,0,partial
night-traffic-12_mp4-0009_jpg.rf.WFuIfYQq6vvdVXUsfJlU.jpg,5,partial
night-traffic-12_mp4-0028_jpg.rf.YBsbReSCtLBd3FhmD8Fd.jpg,15,partial
frame_000125_png.rf.djaBIRGC1Sa7Vo2sFLi9.png,24,no
frame_000095_png.rf.8h2BJ7q6nBuQfVlV25gr.png,31,no
night-traffic-8_mp4-0050_jpg.rf.f6oEftsGAljQT1z9j69R.jpg,5,partial
frame_000100_png.rf.z7pJmLMg2tx8HvGHDEYW.png,26,no
frame_000005_png.rf.1gwBNT6KjIuQTJoFRKyH.png,9,partial
frame_000180_png.rf.RLBz1EHiG886AZ5b7kle.png,24,no
frame_000025_png.rf.KQAwXSFaSOYWSD8pPZEq.png,9,partial
frame_002214_png.rf.q32OELLzhN6dLPcVslOt.png,0,no
frame_000020_png.rf.JkoECWVZhyFn7JNrjBrL.png,22,partial
frame_001312_png.rf.iLVuijxZPLm0JnRNnWAm.png,5,no
frame_002366_png.rf.yskYtHq21FzvSWivJesL.png,2,no
frame_000255_png.rf.2rq8BDBfQxOMgrphyRki.png,4,no
frame_000005_png.rf.1gwBNT6KjIuQTJoFRKyH.png,34,partial
frame_000025_png.rf.KQAwXSFaSOYWSD8pPZEq.png,24,no
night-traffic-8_mp4-0012_jpg.rf.S4T78MbUS5LXFOgQD7d5.jpg,1,partial
frame_000020_png.rf.JkoECWVZhyFn7JNrjBrL.png,4,no
night-traffic-8_mp4-0005_jpg.rf.mqxiy3y0ogYysUWKoprW.jpg,1,no
frame_000310_png.rf.Z44IMd9uLuA9U5wbVh4G.png,24,no
202104081126657_jpg.rf.N7jsup9kLfRGB1jcqppy.jpg,1,no
night-traffic-12_mp4-0031_jpg.rf.d9aVLJqFVXAWBr8ZGkaI.jpg,11,no
night-traffic-8_mp4-0045_jpg.rf.5ZAOtZwsgdvJi065GYHP.jpg,2,no
images_49_jpg.rf.7kwDen0KLJS49F7iM9MM.jpg,9,no
500th-BYD-ADL-electric-bus-1-resized_jpg.rf.99e65G8IHRQp8qwe3NXT.jpg,4,heavy
frame_000310_png.rf.Z44IMd9uLuA9U5wbVh4G.png,17,no
frame_002626_png.rf.013Ja1tj3044GBsJkvZ6.png,6,partial
frame_000135_png.rf.VrFy7FKoJ660GH6wbGxO.png,16,no
night-traffic-8_mp4-0055_jpg.rf.Vwl8DfCz4qjqC12U2e37.jpg,3,heavy
frame_001558_png.rf.RO1eHk5arEB9JVdZ5NKV.png,2,no
night-traffic-12_mp4-0017_jpg.rf.S29HqqBFD0vsp5e9tKno.jpg,7,partial
night-traffic-12_mp4-0027_jpg.rf.jCUn5bpgvOGQgvicgEub.jpg,13,partial
night-traffic-8_mp4-0007_jpg.rf.OjHpJHqxA5tjg9feAkRw.jpg,6,no
Image_013502_jpg.rf.Xun6tWu26h2OKJ9Scx1H.jpg,0,no
night-traffic-8_mp4-0054_jpg.rf.DUAQtoOpjPpSoXT4ZXks.jpg,7,partial
frame_001222_png.rf.hAonfHEq09y4EWZgelYT.png,2,no
night-traffic-12_mp4-0012_jpg.rf.fmJSTuXiGNzAt6R9dL1E.jpg,11,heavy
frame_003116_png.rf.sEbSMV6EHucmFHMiK9q2.png,2,partial
night-traffic-8_mp4-0040_jpg.rf.mAsHYlerSHUoUH5RiUSm.jpg,3,no
frame_000598_png.rf.pIa97KzhFxLS2l055nFF.png,7,partial
night-traffic-12_mp4-0014_jpg.rf.W0FM6lqg22ygYyTFl9Gv.jpg,4,partial
frame_000936_png.rf.oWNnHxVUpY9YYFyCTomO.png,6,partial
night-traffic-8_mp4-0092_jpg.rf.XEugUGyGtz0ubQO5D166.jpg,1,no
frame_001430_png.rf.55qndGaRD8rLxyL6O5DV.png,0,no
frame_002626_png.rf.013Ja1tj3044GBsJkvZ6.png,4,partial
Image_013238_jpg.rf.fr9ujExIjWIoFr6CG3J0.jpg,1,heavy
night-traffic-8_mp4-0041_jpg.rf.YTWFpRQDVdyqrvNcWLQm.jpg,2,partial
night-traffic-8_mp4-0048_jpg.rf.PnAGRwZU2nBp2Z7x4KY4.jpg,4,no
frame_001025_png.rf.OGsB3rDwE7bH3kMQyeRp.png,2,partial
frame_002706_png.rf.LzyrMWcpKL53ufrhQqq3.png,0,no
night-traffic-12_mp4-0031_jpg.rf.d9aVLJqFVXAWBr8ZGkaI.jpg,14,partial
night-traffic-12_mp4-0003_jpg.rf.HMT9UgL5vCfrbPvrmwhq.jpg,11,partial
frame_002652_png.rf.X2bxY3PaAbW2YAwJJ4bn.png,5,partial
frame_001664_png.rf.FyNjipmwS4FnwBJgXMzE.png,1,no
frame_002392_png.rf.m1RyY7Z0xJa4Roiisto6.png,3,no
frame_000182_png.rf.PuZulIv7Pb4v5HNjucv3.png,1,no
night-traffic-12_mp4-0032_jpg.rf.UKCMG0dR3EkBAzuiZZfD.jpg,8,heavy
night-traffic-12_mp4-0019_jpg.rf.WxRBWiIqyBw2oBEag42t.jpg,5,no
night-traffic-12_mp4-0015_jpg.rf.qM1zYMfOzneP41V1AaFj.jpg,12,partial
frame_000650_png.rf.34f2VQdCLlRiFuXf8VEl.png,2,no
frame_002470_png.rf.8UccBkgEcPF2UISeWP12.png,4,partial
2018_07_16_49373_1531739307-_large_jpg.rf.pDPvRxaSSVvnMw0Aksc1.jpg,4,no
night-traffic-12_mp4-0015_jpg.rf.qM1zYMfOzneP41V1AaFj.jpg,7,heavy
202103089885369_jpg.rf.kDeIdKzM9sPGYviTO80r.jpg,1,no
frame_002574_png.rf.xr2niNdDx2ehi3Ty4X76.png,5,no
frame_000910_png.rf.EXKwELnJEWGu1f9IommF.png,2,no
night-traffic-8_mp4-0055_jpg.rf.Vwl8DfCz4qjqC12U2e37.jpg,1,no
night-traffic-12_mp4-0030_jpg.rf.aV5oGJHlHMLV0sRdXqG8.jpg,4,no
frame_002678_png.rf.32sWxACprEwMgBTPIAgc.png,6,heavy
frame_001820_png.rf.PkzKwi7US1ZP0jtiMWPh.png,0,no
night-traffic-12_mp4-0031_jpg.rf.d9aVLJqFVXAWBr8ZGkaI.jpg,17,partial
frame_000078_png.rf.3RN86wHw3YcksTE8pKul.png,0,no
night-traffic-12_mp4-0013_jpg.rf.CaQI7OFhLGlfMMoYmXFd.jpg,11,partial
frame_000164_png.rf.zwz0rD1uQSF2PDCrIQWr.png,1,no
500th-BYD-ADL-electric-bus-1-resized_jpg.rf.99e65G8IHRQp8qwe3NXT.jpg,5,heavy
frame_000364_png.rf.3YDdmlnueGkx9bT2QEaZ.png,6,partial
frame_003403_png.rf.OLwdgtQiWufUod83T4e8.png,0,no
frame_000494_png.rf.4CtPrUn0qFi7ocbUPHZJ.png,8,partial
night-traffic-12_mp4-0013_jpg.rf.CaQI7OFhLGlfMMoYmXFd.jpg,8,no
Image_013289_jpg.rf.enbCaPtZWexWeHrHmfB4.jpg,0,no
night-traffic-8_mp4-0041_jpg.rf.YTWFpRQDVdyqrvNcWLQm.jpg,3,no
frame_001066_png.rf.dk0tD6p2dWoLDlD0oE5A.png,6,partial
frame_002574_png.rf.xr2niNdDx2ehi3Ty4X76.png,6,no
images_49_jpg.rf.7kwDen0KLJS49F7iM9MM.jpg,17,partial
night-traffic-8_mp4-0055_jpg.rf.Vwl8DfCz4qjqC12U2e37.jpg,0,no
202103099936611_jpg.rf.L3hXND1qxolxqGEqirGM.jpg,0,no
night-traffic-12_mp4-0009_jpg.rf.WFuIfYQq6vvdVXUsfJlU.jpg,13,partial
gol5_66_jpg.rf.qy6pHDnwqx5aEdHIH8MS.jpg,0,no
night-traffic-12_mp4-0017_jpg.rf.S29HqqBFD0vsp5e9tKno.jpg,12,partial
Image_013520_jpg.rf.kWu1LnXxaHME20B2FWdO.jpg,0,no
night-traffic-12_mp4-0018_jpg.rf.5ufCvRj0VDRMzIPy2J4O.jpg,11,partial
Image_013192_jpg.rf.iqjD9l4intVfwXVeVl8m.jpg,0,no
night-traffic-12_mp4-0028_jpg.rf.YBsbReSCtLBd3FhmD8Fd.jpg,10,no
night-traffic-8_mp4-0057_jpg.rf.pC2ORlpSEMLxbc3ZboYZ.jpg,9,no
night-traffic-8_mp4-0018_jpg.rf.K12yb8HecJ4H5yRc7sr1.jpg,4,partial
Image_013363_jpg.rf.no1WyfarqjbSNPT7xULM.jpg,0,no
night-traffic-8_mp4-0007_jpg.rf.OjHpJHqxA5tjg9feAkRw.jpg,1,partial
Image_013578_jpg.rf.rK514OvGRS0eRoeQiwth.jpg,0,no
frame_000104_png.rf.oFg4utZduFrFuEhI21fy.png,0,partial
DAMRI-6_jpg.rf.bny8umx3YqTnhcCdFr93.jpg,0,no
night-traffic-12_mp4-0033_jpg.rf.IB2IOtfmcHFl31HEKMMi.jpg,13,partial
Image_013288_jpg.rf.JIlbTZuAIhGXxZKGFi7P.jpg,0,no
frame_001230_png.rf.Rc9CLDK3vfXqbJkcZYal.png,5,partial
202103099926100_jpg.rf.llg5l3XsVnCFY4ZhMCjX.jpg,0,no
night-traffic-12_mp4-0028_jpg.rf.YBsbReSCtLBd3FhmD8Fd.jpg,12,partial
gol5_3_jpg.rf.yhSsykQavA77ZEHsXwjg.jpg,0,no
frame_002378_png.rf.aewZZ9YeZNauZcCHZuQl.png,3,partial
Image_013203_jpg.rf.U02pMo1ywahiyDlWc0i1.jpg,0,no
pl22530647-yellow_color_sinotruk_6x4_jpg.rf.HDHDZ46lnrQ6DL0Zy6T4.jpg,3,heavy
Image_013328_jpg.rf.SDrSdKGqHQsDwSeeGtpl.jpg,0,no
night-traffic-8_mp4-0065_jpg.rf.MapdCXtF4suaTPvAf039.jpg,0,partial
Image_013515_jpg.rf.MbQYcqDhYrDXaMMc0fS7.jpg,0,no
202104081126657_jpg.rf.N7jsup9kLfRGB1jcqppy.jpg,0,partial
frame_001886_png.rf.ubsAS38RYtPLz8rYqea9.png,2,no
bus-damri-7_jpg.rf.tKAWw1e6rqRnsJ2Dorz8.jpg,1,partial
Image_013550_jpg.rf.d5MhIyuu1P8moBKFc7U5.jpg,0,no
bus-damri-7_jpg.rf.tKAWw1e6rqRnsJ2Dorz8.jpg,0,partial
damri-7_jpg.rf.5phSs4dl67Sx1gy02nyN.jpg,0,partial
pl22530647-yellow_color_sinotruk_6x4_jpg.rf.HDHDZ46lnrQ6DL0Zy6T4.jpg,4,heavy
Image_013580_jpg.rf.ZULcML7BxggYEQIfiih7.jpg,0,no
201802083530877_jpg.rf.N398cQQZh7Ra5zEwilB8.jpg,1,partial
