split,berkas,klaster_id
train,frame_000000_jpg.rf.WbXi0TBAbdf0VjTySqpC.jpg,1
train,frame_000000_jpg.rf.ueIY9EWpg7wQXfe1pZmu.jpg,27
train,frame_000000_png.rf.7SGqgBaloyUrWMhmCUbI.png,1
train,frame_000000_png.rf.I8M3y3gNufcELfWeSqLE.png,23
train,frame_000000_png.rf.VTlG3d2s1CDEO7vWG82Z.png,16
train,frame_000005_png.rf.etVqbxMB5CtgCPo7TlAe.png,16
train,frame_000008_png.rf.k9bw9zKlCUq3P6Owob9d.png,23
train,frame_000009_jpg.rf.0m7IbsgS5bqTWHfD9jWb.jpg,1
train,frame_000010_png.rf.yo8qgHWcaq6RbQGuT2F2.png,16
train,frame_000012_jpg.rf.YJqoiVeCy9ZlHJMU488C.jpg,21
train,frame_000015_png.rf.jfYhhoidlFOSMPr7ne6I.png,16
train,frame_000016_png.rf.GWGoMXBKMXdF9cnIOM3z.png,23
train,frame_000018_jpg.rf.pdaVAZVO1kNJpawpW4Mt.jpg,1
train,frame_000018_jpg.rf.vJVazycMI7ZLOj8A0Myg.jpg,21
train,frame_000020_png.rf.BCfpuexivTzPQ1eulH5P.png,16
train,frame_000024_jpg.rf.OjCILOyqlJb72x2CLhqj.jpg,21
train,frame_000024_png.rf.X2XkClEYUP6h2NvEtGt3.png,23
train,frame_000025_png.rf.vp83uvhYv5jkHNzFRvWy.png,16
train,frame_000027_jpg.rf.zLaEZjzrdC5nY3bPEVo1.jpg,1
train,frame_000030_jpg.rf.0J2ezgBoWD5FNAwrjEBc.jpg,21
train,frame_000030_jpg.rf.IPOcDL0kiQRFkilAEBlp.jpg,27
train,frame_000030_png.rf.TbCDxh89rv9Q5PEm1hZv.png,16
train,frame_000032_png.rf.mneeR2QrfvdxIpD4J3p7.png,23
train,frame_000035_png.rf.kAL01HlxPnFspgsOKTx3.png,16
train,frame_000036_jpg.rf.67IFoE0UJXBZ31Y8tCCM.jpg,1
train,frame_000040_png.rf.gPwhqm0NwrWT0vx0Qzeh.png,23
train,frame_000040_png.rf.sqfBjBxk6PWf9XyQHXS2.png,16
train,frame_000045_jpg.rf.GyCx8Ot7Uutrb1m3LKIz.jpg,1
train,frame_000045_png.rf.NcxSjpEvFmzPa9NoGmO2.png,16
train,frame_000045_png.rf.wtfizvgEZAsYgus7VMaM.png,1
train,frame_000048_png.rf.CRP8BCbzj8jljoWLrFQy.png,37
train,frame_000050_png.rf.EtN916Qqdv0mxsWxLCwE.png,16
train,frame_000054_jpg.rf.ObLdXdTgbX88g12N7Afi.jpg,21
train,frame_000054_jpg.rf.jtW8mkGK6eMbPZ0F8hyF.jpg,1
train,frame_000055_png.rf.cIBBSDh45k3UTMmvWpee.png,16
train,frame_000056_png.rf.WLMBnBwGV8H03MdhC4Ui.png,38
train,frame_000060_jpg.rf.dpyRcVkTjwqpyVJHvCTT.jpg,39
train,frame_000060_png.rf.MA8kUiH0Y0QTMbZlWjj8.png,16
train,frame_000063_jpg.rf.nIaaFYJC6pkBK0KpzNlK.jpg,1
train,frame_000064_png.rf.7Dvz9yDs0NVcICYiv9MT.png,24
train,frame_000065_png.rf.UqIiqKuu4M6n49UMGaPP.png,16
train,frame_000072_jpg.rf.PpQgrCZlhVt6w0uBPb67.jpg,21
train,frame_000072_jpg.rf.YhdF8rsFdD75ANmZnR81.jpg,1
train,frame_000072_png.rf.l1qcDy5We2DOgEEl5AaQ.png,24
train,frame_000080_png.rf.awwkLyqaMpPro41aBuhL.png,24
train,frame_000081_jpg.rf.fBcnr7Fv0dXfiGPaXxoo.jpg,1
train,frame_000088_png.rf.hZhu8ChFedIidsVeNCLt.png,40
train,frame_000090_jpg.rf.AncKkgQ7O3EG1y2Bd7h0.jpg,41
train,frame_000090_jpg.rf.RPXGSYUcsR17MV2f345o.jpg,21
train,frame_000090_jpg.rf.rFmzl9HtzOsqHVnAQPXj.jpg,1
train,frame_000090_png.rf.FrXuYDAK64OqYEcNOUqC.png,1
train,frame_000096_png.rf.7qgSfCagLmguFs86cGfq.png,22
train,frame_000099_jpg.rf.nA5Eay5Zd7yteUUl4EgR.jpg,1
train,frame_000100_png.rf.2bwtT7XkVYDN260mqS0K.png,16
train,frame_000102_jpg.rf.7Q6JWbnK0mwgE31N0Y1T.jpg,21
train,frame_000104_png.rf.jVygxpkcNMRFWufhvdJy.png,42
train,frame_000105_png.rf.Xeja92a5rgj97snMHSxl.png,16
train,frame_000108_jpg.rf.eDFc8TsWu8mfbV4V65gF.jpg,1
train,frame_000110_png.rf.Po6wUSLFGdRkyNDfcE6z.png,16
train,frame_000112_png.rf.prbIsZ2SEOhPZppZFWPH.png,44
train,frame_000115_png.rf.s9Eh7RYLMpNEgFZSJHCP.png,16
train,frame_000117_jpg.rf.MxfTwXIo6k0gONv31yoK.jpg,1
train,frame_000120_jpg.rf.TDnk6ADdMl4ppAcxE7du.jpg,21
train,frame_000120_jpg.rf.fFtrZ90UPc93JQRMQS25.jpg,45
train,frame_000120_png.rf.FPDMvGnzVvM00eO41EYt.png,24
train,frame_000120_png.rf.NJYhUgETy7d3qhfAnIZ4.png,16
train,frame_000125_png.rf.TgpppDJaBkeTnVW8fsMN.png,16
train,frame_000126_jpg.rf.bPksmv2I4YfBf6bpEfH0.jpg,1
train,frame_000128_png.rf.i5GRPoFQsjckzVzMAS2Q.png,24
train,frame_000130_png.rf.W3NHANvNUWNzlRCuYuZw.png,16
train,frame_000135_jpg.rf.owut5jS0zIkMs9MyZ3fU.jpg,1
train,frame_000135_png.rf.4iRHexrYMlzo1JHnsCRM.png,1
train,frame_000135_png.rf.bGMjqrH6D0gdakk0lyNm.png,16
train,frame_000136_png.rf.8bTztJZFzht60zshnq3K.png,24
train,frame_000144_jpg.rf.RNVtrJbwJB5Qdw9eegze.jpg,1
train,frame_000144_png.rf.hSl8aiDkwNI60Z4b9GVT.png,46
train,frame_000145_png.rf.5CsoFzqUeOavVP3E9a10.png,16
train,frame_000150_jpg.rf.jKhOY38uSMomch7Bv7sN.jpg,47
train,frame_000150_png.rf.cuRuz9wemImNCZmcH1pG.png,16
train,frame_000152_png.rf.xiwUHq5TvDhTYSRAQzC4.png,48
train,frame_000153_jpg.rf.qYhypk0C0DOsLWAPNaWx.jpg,1
train,frame_000155_png.rf.IYrAKuRFqyRRBECgMxyH.png,16
train,frame_000160_png.rf.l7gD4YtwhwIIcb7Ksxij.png,16
train,frame_000160_png.rf.pKF7uHM596hLvTiLGbW1.png,49
train,frame_000162_jpg.rf.n7pMbwhNz5sfPI4MffXm.jpg,1
train,frame_000165_png.rf.FYsqI4Azo8DxwPW5wTaH.png,16
train,frame_000168_jpg.rf.s0WKvBZwYo1zdIjkKXXx.jpg,28
train,frame_000168_png.rf.o9kZO5IBYNv0PNwjJRAk.png,50
train,frame_000171_jpg.rf.eusHWD8Nq5usuhXkpOLA.jpg,1
train,frame_000176_png.rf.mUFmCpOYDxh6hwSiHH6z.png,51
train,frame_000180_jpg.rf.3Yi7OiWUDKCscuTWeXUf.jpg,1
train,frame_000180_jpg.rf.oizRRdJvpAWwYuuOlHNZ.jpg,28
train,frame_000180_jpg.rf.r7GHUzemm9laP2P8xHLU.jpg,27
train,frame_000180_png.rf.ecaDDvdaV23yKpNA6y0b.png,1
train,frame_000184_png.rf.8PHNTJhy5F6LcMMT0C1F.png,53
train,frame_000186_jpg.rf.aFx1NP1xXxJv4dJBrULf.jpg,28
train,frame_000189_jpg.rf.Jrmd7UUOHpaGyo7XVTpE.jpg,1
train,frame_000192_png.rf.WTtUja2w2jBjLcRoUfTL.png,32
train,frame_000198_jpg.rf.GOaSevDjjZK9qYuyKI96.jpg,1
train,frame_000200_png.rf.cSB16id50kFBrNsPHmnZ.png,32
train,frame_000207_jpg.rf.rQcA4dioaGYOd3w9Rn45.jpg,1
train,frame_000208_png.rf.Xwjvx94yWKo8lWxyl3lA.png,54
train,frame_000210_jpg.rf.dvELzf1A94eSrD4E0x7g.jpg,55
train,frame_000216_jpg.rf.6h1UIq874AQ15qA6MccG.jpg,1
train,frame_000216_png.rf.BaYNEae32WDPhiFLuO32.png,57
train,frame_000224_png.rf.gAAoIKXjOX5aQiPAnfIT.png,58
train,frame_000225_jpg.rf.yYNzuD34cMHHmgwXm04m.jpg,1
train,frame_000225_png.rf.v6zTmvElbYJKl1iAGEDy.png,1
train,frame_000230_png.rf.T8AGCvsEqHiKK7yfLN4e.png,16
train,frame_000232_png.rf.KK8UTwD9rPm7FXoogTsY.png,59
train,frame_000234_jpg.rf.rMj6iSwJUT3jsppiTzdf.jpg,1
train,frame_000235_png.rf.mOitFgqHdR6zgShR8ujR.png,16
train,frame_000240_jpg.rf.AINgu1vZoq96BKGUgXwD.jpg,60
train,frame_000240_png.rf.CxVTJMe96FFChj8nfxQ5.png,61
train,frame_000240_png.rf.I9q3BMAZdUSrUvOEI9sX.png,16
train,frame_000243_jpg.rf.JPQ360Sf19nk6Y9aJKSu.jpg,1
train,frame_000245_png.rf.48wGVws6UbTCh6XZU03S.png,16
train,frame_000248_png.rf.ceuALDDKAarzhp7MiYLC.png,25
train,frame_000252_jpg.rf.gv5wflqljuogd5OyIZ61.jpg,1
train,frame_000256_png.rf.3d70PSpz4Zpot6KZ0xz0.png,25
train,frame_000261_jpg.rf.6f4NZiSdS1mNwB0UXmaK.jpg,1
train,frame_000264_png.rf.TDtbbinqbfPAtqsO3C3J.png,25
train,frame_000270_jpg.rf.0CgXFW47FTLpWdxD5Tl7.jpg,62
train,frame_000270_jpg.rf.oGNs7aDeIpc0P0FO7db8.jpg,1
train,frame_000270_png.rf.ajSUdQCY7WQOnAgSzNyt.png,1
train,frame_000272_png.rf.m0NewRCm62BcZpdQQy1C.png,25
train,frame_000279_jpg.rf.b3BT8nX89u1QsiSuMcXO.jpg,1
train,frame_000280_png.rf.VXW2flJJC1jkuSsovI7P.png,25
train,frame_000288_jpg.rf.UHVnDroadQ7YCpE6hR9b.jpg,1
train,frame_000288_png.rf.9ciARbMwpF0IdvaOf2uS.png,22
train,frame_000296_png.rf.D5zrsFUg5XXNAwiyXq5g.png,22
train,frame_000300_jpg.rf.5rp89xyxV4DDNLnv4euY.jpg,63
train,frame_000304_png.rf.wrJBi0lVpLfP0C0REOVX.png,22
train,frame_000312_png.rf.xRvKl6MIwyn7cGLd9xQR.png,22
train,frame_000315_png.rf.AGNOFWHFxg0lBPxafsE6.png,1
train,frame_000320_png.rf.9L2yNOq44rulThtfyPEG.png,22
train,frame_000328_png.rf.LeDlRTrkVsBPAyp6YLTW.png,22
train,frame_000330_jpg.rf.mnInKrZ2XL7n4K1cJ8Vg.jpg,64
train,frame_000336_png.rf.hyOyY5REz35InMDasGw3.png,22
train,frame_000344_png.rf.sjjXpAv88NiKirS3pWzY.png,65
train,frame_000352_png.rf.pang5G8WcwHGaucJuoud.png,66
train,frame_000360_jpg.rf.X1QxzIY048kpc0sLmprQ.jpg,67
train,frame_000360_png.rf.Sm4y7bRT1wUBUWn4kkOA.png,68
train,frame_000360_png.rf.VhmsfY7GCnzhWdD2kQ15.png,1
train,frame_000368_png.rf.PSi2tF4di0K3qkkBP541.png,69
train,frame_000376_png.rf.4zpRRgqwlPXaPGLpV6pP.png,29
train,frame_000384_png.rf.iIRwirLQxMbIHsUYua2k.png,29
