klaster,anggota,split_perwakilan,status,catatan
W000,14,train,,
W001,8,train,,
W002,7,train,,
W003,6,valid,,
W004,5,valid,,
W005,5,valid,,
W006,4,train,,
W007,4,valid,,
W008,3,train,,
W009,3,train,,
W010,3,train,,
W011,3,train,,
W012,3,train,,
W013,3,train,,
W014,3,valid,,
W015,3,valid,,
W016,3,valid,,
W017,3,valid,,
W018,3,valid,,
W019,3,valid,,
W020,3,valid,,
W021,3,valid,,
W022,3,valid,,
W023,2,train,,
W024,2,train,,
W025,2,train,,
W026,2,train,,
W027,2,train,,
W028,2,train,,
W029,2,train,,
W030,2,train,,
W031,2,train,,
W032,2,train,,
W033,2,train,,
W034,2,train,,
W035,2,train,,
W036,2,train,,
W037,2,train,,
W038,2,train,,
W039,2,train,,
W040,2,train,,
W041,2,train,,
W042,2,train,,
W043,2,train,,
W044,2,train,,
W045,2,train,,
W046,2,train,,
W047,2,train,,
W048,2,train,,
W049,2,train,,
W050,2,train,,
W051,2,train,,
W052,2,train,,
W053,2,train,,
W054,2,train,,
W055,2,train,,
W056,2,train,,
W057,2,valid,,
W058,2,valid,,
W059,2,valid,,
W060,2,valid,,
W061,2,valid,,
W062,2,valid,,
W063,2,valid,,
W064,2,valid,,
W065,2,valid,,
W066,2,valid,,
W067,2,valid,,
W068,2,valid,,
W069,2,valid,,
W070,2,valid,,
W071,2,valid,,
W072,2,valid,,
W073,2,valid,,
W074,2,valid,,
W075,2,valid,,
W076,2,valid,,
W077,2,valid,,
W078,2,valid,,
W079,2,valid,,
W080,2,valid,,
W081,2,valid,,
W082,2,valid,,
W083,2,valid,,
W084,2,test,,
W085,2,test,,
W086,2,test,,
W087,2,test,,
W088,2,test,,
W089,2,test,,
W090,2,test,,
W091,2,test,,
W092,2,test,,
W093,1,train,,
W094,1,train,,
W095,1,train,,
W096,1,train,,
W097,1,train,,
W098,1,train,,
W099,1,train,,
W100,1,train,,
W101,1,train,,
W102,1,train,,
W103,1,train,,
W104,1,train,,
W105,1,train,,
W106,1,train,,
W107,1,train,,
W108,1,train,,
W109,1,train,,
W110,1,train,,
W111,1,train,,
W112,1,train,,
W113,1,train,,
W114,1,train,,
W115,1,train,,
W116,1,train,,
W117,1,train,,
W118,1,train,,
W119,1,train,,
W120,1,train,,
W121,1,train,,
W122,1,train,,
W123,1,train,,
W124,1,train,,
W125,1,train,,
W126,1,train,,
W127,1,train,,
W128,1,train,,
W129,1,train,,
W130,1,train,,
W131,1,train,,
W132,1,train,,
W133,1,train,,
W134,1,train,,
W135,1,train,,
W136,1,train,,
W137,1,train,,
W138,1,train,,
W139,1,train,,
W140,1,train,,
W141,1,train,,
W142,1,train,,
W143,1,train,,
W144,1,train,,
W145,1,train,,
W146,1,train,,
W147,1,train,,
W148,1,train,,
W149,1,train,,
W150,1,train,,
W151,1,train,,
W152,1,train,,
W153,1,train,,
W154,1,train,,
W155,1,train,,
W156,1,train,,
W157,1,train,,
W158,1,train,,
W159,1,train,,
W160,1,train,,
W161,1,train,,
W162,1,train,,
W163,1,train,,
W164,1,train,,
W165,1,train,,
W166,1,train,,
W167,1,train,,
W168,1,train,,
W169,1,train,,
W170,1,train,,
W171,1,train,,
W172,1,train,,
