klaster,nama_berkas,split,anggota_klaster,perwakilan
W000,-f6070acc85_jpg.rf.UQYD5ome92lnEchrMnnq.jpg,train,14,ya
W000,T14_png.rf.RmgsRBCX39aAnMCx0jRM.png,train,14,
W000,T17_png.rf.2oxDwsYWz1rmkWOaz8O4.png,train,14,
W000,T22_png.rf.5q6uR3PvYHZiX7qE6yVN.png,train,14,
W000,T23_png.rf.smuJgaRBYznjuWAKNEOZ.png,train,14,
W000,T24_png.rf.V4n9TpjvUJSa3h6Vkkwa.png,train,14,
W000,T42_png.rf.pU5JnqYWaPrfT8IXk9cy.png,train,14,
W000,T45_png.rf.Cwjd0jIGUIgbZ8WDLbPS.png,train,14,
W000,T83_png.rf.i8c8bCoPUcwUytSpG9tN.png,train,14,
W000,T84_png.rf.IM0IKqMiE66kBiUjoLUD.png,train,14,
W000,T88_png.rf.mEyoSyY0gvHjt4cvu0XR.png,train,14,
W000,T89_png.rf.zT45aCkBPR0j3FUDfg79.png,train,14,
W000,T93_png.rf.UhUlxKr8AafwE7hkljBd.png,train,14,
W000,T95_png.rf.XPRG2oDXjxbBxiZDKSXs.png,train,14,
W001,T101_png.rf.fDnX1BXuH8spTkhiYavV.png,train,8,ya
W001,T102_png.rf.TESogZwU5vhXfGkhwCWA.png,train,8,
W001,T18_png.rf.I1jayzEwniW9zxW61mPh.png,train,8,
W001,T25_png.rf.gUmJ21KJs746Gnk5Qd4l.png,train,8,
W001,T26_png.rf.BiJui45PXmUUDEChAQAt.png,train,8,
W001,T80_png.rf.tl5ijYfDVEcJJTdff7vr.png,train,8,
W001,T82_png.rf.ciF94zNeHatjGd5UzpXe.png,train,8,
W001,T97_png.rf.WxueimuqsGRWxEYMEvbW.png,train,8,
W002,202102199229786_jpg.rf.z5IjRhpauOJadDPVyHQi.jpg,train,7,ya
W002,202101268351623_jpg.rf.UQBaAl0ZkEh1hlNT9CAY.jpg,valid,7,
W002,202103069805244_jpg.rf.cINKftrnadHUeNqUhoa8.jpg,valid,7,
W002,202103270647566_jpg.rf.RGF6CBZxQMiaeNBdUJUD.jpg,valid,7,
W002,202103190333991_jpg.rf.D92w3ZYDjJZxyhO2ZqdA.jpg,test,7,
W002,202103190333993_jpg.rf.wJkbdWwh9hqsDzWgCe6r.jpg,test,7,
W002,202103190333999_jpg.rf.ncyhpYHA7OIbdqWOJK3W.jpg,test,7,
W003,Image_013198_jpg.rf.lC7ZsMk9jiNwD22bwl1P.jpg,valid,6,ya
W003,Image_013226_jpg.rf.8oQcwip03N6Xs6zFiqsU.jpg,valid,6,
W003,Image_013307_jpg.rf.vXfYNaTdUyrK7rfNJmOd.jpg,valid,6,
W003,Image_013328_jpg.rf.SDrSdKGqHQsDwSeeGtpl.jpg,valid,6,
W003,Image_013449_jpg.rf.ZL40bAi89SVC8s6Pg0ZS.jpg,valid,6,
W003,Image_013470_jpg.rf.PRobJ9LnfkJNGxjHv5JK.jpg,valid,6,
W004,Image_013230_jpg.rf.WCwYNlQ7xMFUKHwAIVoz.jpg,valid,5,ya
W004,Image_013254_jpg.rf.0zagJTdhDSisqknJ63Uj.jpg,valid,5,
W004,Image_013311_jpg.rf.wqMgwY86S3tzq8JHwzSl.jpg,valid,5,
W004,Image_013340_jpg.rf.WEBRFNiZEKFJZr6ZL24N.jpg,valid,5,
W004,Image_013469_jpg.rf.2LfqZHJzxByqz8G12wFu.jpg,valid,5,
W005,Image_013289_jpg.rf.enbCaPtZWexWeHrHmfB4.jpg,valid,5,ya
W005,Image_013362_jpg.rf.Um72kl77xrKuk2xNtNlp.jpg,valid,5,
W005,Image_013567_jpg.rf.ByKlCRFEHBXDa4pYYsiu.jpg,valid,5,
W005,Image_013568_jpg.rf.sIq81UeHLZrNgjUQMKVB.jpg,valid,5,
W005,Image_013580_jpg.rf.ZULcML7BxggYEQIfiih7.jpg,valid,5,
W006,1606141526137-damri_jpg.rf.gpCa5CIbpzogYW15YADm.jpg,train,4,ya
W006,Bus-DAMRI-istimewa5e06e8ff7aea3430_jpg.rf.JieJK7DJsvs16GZeNnJW.jpg,train,4,
W006,Harga-Tiket-Damri-Jambi-damricoid_jpg.rf.TW33jswsCeYMVYaM97es.jpg,train,4,
W006,f23d879b06855fff25a49736ff70a859_jpg.rf.vv7vsl0wqp06dXSIVsyy.jpg,train,4,
W007,Image_013291_jpg.rf.NbYWf0t8snRrDMOJmvil.jpg,valid,4,ya
W007,Image_013299_jpg.rf.zkPcrfYrGsiYg6nEBCis.jpg,valid,4,
W007,Image_013412_jpg.rf.GGNmdV1S573QMHzPNd97.jpg,valid,4,
W007,Image_013581_jpg.rf.moUjFeOLOTj6q1G0nBC4.jpg,valid,4,
W008,30087455_211830202737680_98609079714_jpg.rf.qQd4m3jLgo3PvEGlYhmX.jpg,train,3,ya
W008,Image_013256_jpg.rf.WOWUg6iO61xA4Wwhvigu.jpg,valid,3,
W008,Image_013315_jpg.rf.6g0fBcAOtJY2PbcWRkP6.jpg,valid,3,
W009,5e70c09022be7_jpg.rf.0u8akFegb9aL0dLCF9Xg.jpg,train,3,ya
W009,Armada-Bus-Sehat-DAMRI-2-780x470_jpg.rf.mXzm34ztHDBaLoOwPux1.jpg,train,3,
W009,Damri-630x420_jpg.rf.3oMFJuEtjGcRy1uSnvaM.jpg,train,3,
W010,Bus-Damri-1-768x480_jpg.rf.bMhflYIgqS5IDfb7RIw1.jpg,train,3,ya
W010,bus-2Bdamri-2Bpariwisata-2B082272273_jpg.rf.5qSzpT6rd8fjH8QvRLhW.jpg,train,3,
W010,Bus-Damri-1_jpg.rf.gm5kTdkPqNvN3EkT6AuO.jpg,test,3,
W011,T100_png.rf.62d6GEFqHMJByAYpk8vQ.png,train,3,ya
W011,T16_png.rf.sG8AN4ndFr83MRkQg9l7.png,train,3,
W011,T33_png.rf.qlPPRVnvmSoRZlLvWb9n.png,train,3,
W012,T51_png.rf.hmow9dr8PWVRGgBASZOa.png,train,3,ya
W012,T70_png.rf.9BdMSUItSaIWbe09inJK.png,train,3,
