peringkat,nama,split,skor,frac_datar,dikenal
1,-3163ca687f_jpg.rf.ccjchxzodm0rACM8v8Mw.jpg,train,0.0000,0.402,
2,-c7cae33d7d_jpg.rf.KMuFwRLy2IX8rntALXw4.jpg,train,0.0000,0.406,
3,-e38a6febcc_jpg.rf.2skMY6FWTJYInGTKmxps.jpg,train,0.0000,0.400,
4,-f6070acc85_jpg.rf.UQYD5ome92lnEchrMnnq.jpg,train,0.0000,0.401,
5,0000161190-eff4a7d6440628a6ed58e9d9a_jpg.rf.K9KZavCD3OWsUKFlMavf.jpg,train,0.0000,0.401,
6,0046490bus1780x390_jpg.rf.4X2sb1dVqwi3z3js8BTJ.jpg,train,0.0000,0.402,
7,013877-1-lg_jpg.rf.hQfy6f5auJqRzGwNcnZ9.jpg,train,0.0000,0.406,
8,018_jpg.rf.0XFeoyZQ48aVSPqgpeqq.jpg,train,0.0000,0.405,
9,031213065446_jpg.rf.KoL0iGXEo17dLpmiBktF.jpg,train,0.0000,0.402,
10,031213082113_jpg.rf.GPbsRn023cYNGve7V7a5.jpg,train,0.0000,0.401,
11,077006000_1466184933-kepala_kuning_jpg.rf.ut2EPnAV6KYmeFdZgdYH.jpg,train,0.0000,0.402,
12,07bus-service2_jpg.rf.iviHNzCUeFZDj7zifxPe.jpg,train,0.0000,0.401,
13,1048309-1000xauto-bus-klub-indonesia_jpg.rf.rTX8N391lugPT5hgHUrX.jpg,train,0.0000,0.401,
14,10486057103_d8a7fd109b_b_jpg.rf.oLCjUNV5aNU5SZgcO7yH.jpg,train,0.0000,0.404,
15,1131506fuso1780x390_jpg.rf.N898UbrjOPzEn56mq7w0.jpg,train,0.0000,0.401,
16,12745909_911990905563681_71866727339_jpg.rf.Z5KEZ6gFdgw25kuyrtuW.jpg,train,0.0000,0.401,
17,12988780_MTAwMC03OTUtYTcxNGRiOGUwZQ_jpg.rf.8lz0Os79I8z4nGjMI4kv.jpg,train,0.0000,0.400,
18,1365-_jpg.rf.51misGtBLzUj4L1RdowA.jpg,train,0.0000,0.403,
19,13661875-825756007524474-53594221530_jpg.rf.YICOgtrQYHvuMjUm5UEj.jpg,train,0.0000,0.403,
20,1559104773084_png_jpg.rf.aFpcCAI8oS558FuPu3MJ.jpg,train,0.0000,0.400,
21,15690333345d858c76c4523_1--2-_jpeg_jpg.rf.l2tvZ6trUIEKQUklvGSb.jpg,train,0.0000,0.401,
22,15832118185e5de52ab6203_1_jpeg_jpg.rf.T0A6AkfOITDe1L8Wn5BZ.jpg,train,0.0000,0.400,
23,15838034105e66ec12e5fcb_1_jpeg_jpg.rf.BSlt567alkRUPxeQZojk.jpg,train,0.0000,0.404,
24,1585052231_bigbus1-jpg_jpg.rf.pMFic0kBiXvPwpAByovH.jpg,train,0.0000,0.408,
25,15865708705e912676c62ec_1_jpeg_jpg.rf.xvV6ax3p5qn5dT0PYG5R.jpg,train,0.0000,0.402,
26,1598286031-20130714_082914-1024x768_jpg.rf.HpX39XFfCmkCvPKAOrJL.jpg,train,0.0000,0.402,
27,1606141526137-damri_jpg.rf.gpCa5CIbpzogYW15YADm.jpg,train,0.0000,0.405,
28,16095712995ff01be38f194_1_jpeg_jpg.rf.3y2DpzHoVO0YY96FdUc2.jpg,train,0.0000,0.402,
29,16100655265ff7a67692bbe_1_jpeg_jpg.rf.jbuCbA2ONRnP3Pj4v7Xp.jpg,train,0.0000,0.402,
30,16106091855ffff2217285d_1--2-_jpeg_jpg.rf.fYYIeGDzvgk414Ivx1tc.jpg,train,0.0000,0.408,
31,1613083111_jpg.rf.FYc1RBOB2E6jykBDZkzg.jpg,train,0.0000,0.400,
32,161483562560406fa90b7d6_1_jpeg_jpg.rf.aAtkmmDLtKcoH0V5zq8T.jpg,train,0.0000,0.402,
