time_s,interval,tracker_id,class,direction
1.93,0,3,two-wheeler,in
3.23,0,4,two-wheeler,in
4.33,0,2,car,out
11.83,0,7,two-wheeler,out
14.37,0,8,car,out
27.27,0,15,two-wheeler,in
27.6,0,14,two-wheeler,out
30.6,0,16,two-wheeler,out
33.5,0,18,two-wheeler,out
34.73,0,19,two-wheeler,in
37.33,0,20,two-wheeler,out
38.6,0,21,two-wheeler,in
42.67,0,22,two-wheeler,in
45.1,0,23,two-wheeler,in
47.4,0,24,two-wheeler,in
49.33,0,27,car,in
54.9,0,28,big-vehicle,out
55.63,0,35,two-wheeler,out
57.83,0,36,two-wheeler,out
59.93,0,39,car,in
