time_s,interval,tracker_id,class,direction
3.07,0,8,two-wheeler,in
3.07,0,9,two-wheeler,in
6.47,0,18,two-wheeler,in
7.67,0,22,two-wheeler,in
8.6,0,25,two-wheeler,in
9.0,0,24,two-wheeler,in
12.07,0,35,two-wheeler,out
14.2,0,41,two-wheeler,out
14.87,0,46,two-wheeler,out
25.87,0,61,two-wheeler,in
30.2,0,68,two-wheeler,in
30.93,0,71,two-wheeler,in
32.07,0,75,two-wheeler,in
32.93,0,86,two-wheeler,in
32.93,0,78,two-wheeler,in
35.27,0,99,two-wheeler,in
38.4,0,112,two-wheeler,in
38.6,0,113,two-wheeler,out
42.53,0,130,two-wheeler,out
42.67,0,132,two-wheeler,out
45.87,0,137,two-wheeler,out
51.2,0,144,two-wheeler,out
54.6,0,155,two-wheeler,out
55.6,0,157,two-wheeler,out
56.8,0,160,two-wheeler,out
