time_s,interval,tracker_id,class,direction
2.93,0,9,two-wheeler,in
3.07,0,8,two-wheeler,in
6.47,0,18,two-wheeler,in
7.67,0,22,two-wheeler,in
8.6,0,25,two-wheeler,in
9.07,0,24,two-wheeler,in
12.07,0,35,two-wheeler,out
14.13,0,41,two-wheeler,out
14.7,0,48,two-wheeler,out
14.8,0,46,two-wheeler,out
16.93,0,46,car,in
25.8,0,61,two-wheeler,in
26.27,0,60,car,in
30.27,0,68,two-wheeler,in
30.87,0,71,two-wheeler,in
32.07,0,75,two-wheeler,in
32.07,0,82,two-wheeler,in
32.87,0,86,two-wheeler,in
32.93,0,78,two-wheeler,in
35.27,0,99,two-wheeler,in
38.33,0,112,two-wheeler,in
42.47,0,130,two-wheeler,out
42.67,0,132,two-wheeler,out
45.87,0,137,two-wheeler,out
50.87,0,147,two-wheeler,in
51.33,0,144,two-wheeler,out
54.6,0,155,two-wheeler,out
55.53,0,157,two-wheeler,out
56.73,0,160,two-wheeler,out
58.2,0,171,two-wheeler,in
