time_s,interval,tracker_id,class,direction
9.2,0,37,two-wheeler,out
10.0,0,45,two-wheeler,out
17.33,0,60,car,out
18.67,0,64,car,out
19.6,0,86,two-wheeler,out
23.17,0,87,car,out
29.97,0,128,car,out
32.4,0,148,two-wheeler,out
33.8,0,156,two-wheeler,out
33.83,0,152,car,out
34.23,0,160,two-wheeler,out
34.53,0,189,two-wheeler,out
34.93,0,181,two-wheeler,out
35.23,0,169,two-wheeler,out
35.47,0,171,two-wheeler,out
35.83,0,126,car,out
36.13,0,168,two-wheeler,out
36.43,0,190,two-wheeler,out
36.47,0,193,two-wheeler,out
36.73,0,184,two-wheeler,out
36.73,0,209,two-wheeler,out
37.0,0,204,two-wheeler,out
37.13,0,225,two-wheeler,out
37.17,0,211,two-wheeler,out
37.2,0,197,two-wheeler,out
37.53,0,215,two-wheeler,out
37.93,0,241,two-wheeler,out
38.03,0,201,two-wheeler,out
38.53,0,252,two-wheeler,out
38.93,0,264,two-wheeler,out
39.07,0,214,two-wheeler,out
39.33,0,1,car,out
39.43,0,247,two-wheeler,out
39.87,0,240,two-wheeler,out
40.17,0,216,two-wheeler,out
40.2,0,239,two-wheeler,out
40.23,0,257,two-wheeler,out
41.07,0,235,two-wheeler,out
41.23,0,274,two-wheeler,out
41.27,0,258,two-wheeler,out
41.73,0,293,two-wheeler,out
41.73,0,269,two-wheeler,out
42.03,0,298,two-wheeler,out
42.43,0,282,two-wheeler,out
42.57,0,270,two-wheeler,out
42.83,0,261,two-wheeler,out
42.97,0,306,two-wheeler,out
43.47,0,265,two-wheeler,out
44.33,0,332,two-wheeler,out
44.77,0,324,two-wheeler,out
44.87,0,179,car,out
44.87,0,331,two-wheeler,out
45.37,0,341,two-wheeler,out
46.37,0,318,two-wheeler,out
47.07,0,325,two-wheeler,out
47.47,0,294,car,out
47.63,0,348,two-wheeler,out
49.03,0,323,car,out
50.23,0,363,two-wheeler,out
50.53,0,386,two-wheeler,out
50.67,0,368,two-wheeler,out
50.87,0,404,two-wheeler,out
51.53,0,371,two-wheeler,out
51.83,0,355,car,out
52.03,0,388,two-wheeler,out
52.53,0,394,two-wheeler,out
52.77,0,297,car,out
53.0,0,402,two-wheeler,out
53.57,0,376,two-wheeler,out
54.63,0,427,two-wheeler,out
55.73,0,369,car,out
57.07,0,438,two-wheeler,out
57.47,0,379,car,out
58.27,0,420,two-wheeler,out
59.47,0,476,two-wheeler,out
59.77,0,406,car,out
