time_s,interval,tracker_id,class,direction
9.2,0,37,two-wheeler,in
10.0,0,45,two-wheeler,in
17.33,0,60,car,in
18.67,0,64,car,in
19.6,0,86,two-wheeler,in
23.17,0,87,car,in
29.97,0,128,car,in
32.4,0,148,two-wheeler,in
33.8,0,156,two-wheeler,in
33.83,0,152,car,in
34.23,0,160,two-wheeler,in
34.53,0,189,two-wheeler,in
34.93,0,181,two-wheeler,in
35.23,0,169,two-wheeler,in
35.47,0,171,two-wheeler,in
35.83,0,126,car,in
36.13,0,168,two-wheeler,in
36.43,0,190,two-wheeler,in
36.47,0,193,two-wheeler,in
36.73,0,184,two-wheeler,in
36.73,0,209,two-wheeler,in
37.0,0,204,two-wheeler,in
37.13,0,225,two-wheeler,in
37.17,0,211,two-wheeler,in
37.2,0,197,two-wheeler,in
37.53,0,215,two-wheeler,in
37.93,0,241,two-wheeler,in
38.03,0,201,two-wheeler,in
38.53,0,252,two-wheeler,in
38.93,0,264,two-wheeler,in
39.07,0,214,two-wheeler,in
39.33,0,1,car,in
39.43,0,247,two-wheeler,in
39.87,0,240,two-wheeler,in
40.17,0,216,two-wheeler,in
40.2,0,239,two-wheeler,in
40.23,0,257,two-wheeler,in
41.07,0,235,two-wheeler,in
41.23,0,274,two-wheeler,in
41.27,0,258,two-wheeler,in
41.73,0,293,two-wheeler,in
41.73,0,269,two-wheeler,in
42.03,0,298,two-wheeler,in
42.43,0,282,two-wheeler,in
42.57,0,270,two-wheeler,in
42.83,0,261,two-wheeler,in
42.97,0,306,two-wheeler,in
43.47,0,265,two-wheeler,in
44.33,0,332,two-wheeler,in
44.77,0,324,two-wheeler,in
44.87,0,179,car,in
44.87,0,331,two-wheeler,in
45.37,0,341,two-wheeler,in
46.37,0,318,two-wheeler,in
47.07,0,325,two-wheeler,in
47.47,0,294,car,in
47.63,0,348,two-wheeler,in
49.03,0,323,car,in
50.23,0,363,two-wheeler,in
50.53,0,386,two-wheeler,in
50.67,0,368,two-wheeler,in
50.87,0,404,two-wheeler,in
51.53,0,371,two-wheeler,in
51.83,0,355,car,in
52.03,0,388,two-wheeler,in
52.53,0,394,two-wheeler,in
52.77,0,297,car,in
53.0,0,402,two-wheeler,in
53.57,0,376,two-wheeler,in
54.63,0,427,two-wheeler,in
55.73,0,369,car,in
57.07,0,438,two-wheeler,in
57.47,0,379,car,in
58.27,0,420,two-wheeler,in
59.47,0,476,two-wheeler,in
59.77,0,406,car,in
