interval,class,direction,count
0,big-vehicle,in,0
0,big-vehicle,out,0
0,car,in,0
0,car,out,2
0,two-wheeler,in,20
0,two-wheeler,out,19
1,big-vehicle,in,0
1,big-vehicle,out,0
1,car,in,0
1,car,out,0
1,two-wheeler,in,12
1,two-wheeler,out,9
2,big-vehicle,in,1
2,big-vehicle,out,0
2,car,in,3
2,car,out,0
2,two-wheeler,in,18
2,two-wheeler,out,33
3,big-vehicle,in,0
3,big-vehicle,out,0
3,car,in,1
3,car,out,1
3,two-wheeler,in,27
3,two-wheeler,out,15
4,big-vehicle,in,1
4,big-vehicle,out,1
4,car,in,0
4,car,out,0
4,two-wheeler,in,24
4,two-wheeler,out,19
5,big-vehicle,in,2
5,big-vehicle,out,0
5,car,in,1
5,car,out,2
5,two-wheeler,in,18
5,two-wheeler,out,17
6,big-vehicle,in,0
6,big-vehicle,out,0
6,car,in,1
6,car,out,2
6,two-wheeler,in,21
6,two-wheeler,out,16
7,big-vehicle,in,0
7,big-vehicle,out,0
7,car,in,1
7,car,out,1
7,two-wheeler,in,13
7,two-wheeler,out,20
8,big-vehicle,in,0
8,big-vehicle,out,0
8,car,in,2
8,car,out,1
8,two-wheeler,in,17
8,two-wheeler,out,21
9,big-vehicle,in,1
9,big-vehicle,out,0
9,car,in,0
9,car,out,2
9,two-wheeler,in,13
9,two-wheeler,out,21
