interval,class,direction,count
0,big-vehicle,in,0
0,big-vehicle,out,0
0,car,in,0
0,car,out,0
0,two-wheeler,in,0
0,two-wheeler,out,0
1,big-vehicle,in,0
1,big-vehicle,out,0
1,car,in,0
1,car,out,0
1,two-wheeler,in,0
1,two-wheeler,out,0
2,big-vehicle,in,0
2,big-vehicle,out,0
2,car,in,0
2,car,out,0
2,two-wheeler,in,0
2,two-wheeler,out,0
3,big-vehicle,in,0
3,big-vehicle,out,0
3,car,in,0
3,car,out,0
3,two-wheeler,in,0
3,two-wheeler,out,0
4,big-vehicle,in,0
4,big-vehicle,out,0
4,car,in,0
4,car,out,0
4,two-wheeler,in,0
4,two-wheeler,out,0
5,big-vehicle,in,0
5,big-vehicle,out,0
5,car,in,0
5,car,out,0
5,two-wheeler,in,0
5,two-wheeler,out,0
6,big-vehicle,in,0
6,big-vehicle,out,0
6,car,in,0
6,car,out,0
6,two-wheeler,in,0
6,two-wheeler,out,0
7,big-vehicle,in,0
7,big-vehicle,out,0
7,car,in,0
7,car,out,0
7,two-wheeler,in,0
7,two-wheeler,out,0
8,big-vehicle,in,0
8,big-vehicle,out,0
8,car,in,0
8,car,out,0
8,two-wheeler,in,0
8,two-wheeler,out,0
9,big-vehicle,in,0
9,big-vehicle,out,0
9,car,in,0
9,car,out,0
9,two-wheeler,in,0
9,two-wheeler,out,0
