berkas,stem_asli,grup,subset
-3163ca687f_jpg.rf.ccjchxzodm0rACM8v8Mw.jpg,-3163ca687f,-3163ca687f,train
-_57_jpg.rf.Rl9E7Xo7wPDCwMA6Kmyw.jpg,-_57,-_57,train
-c7cae33d7d_jpg.rf.KMuFwRLy2IX8rntALXw4.jpg,-c7cae33d7d,-c7cae33d7d,train
-e38a6febcc_jpg.rf.2skMY6FWTJYInGTKmxps.jpg,-e38a6febcc,-e38a6febcc,train
-f6070acc85_jpg.rf.UQYD5ome92lnEchrMnnq.jpg,-f6070acc85,-f6070acc85,train
0000147617-e4eb190337827f8bbbcc9317d_jpg.rf.s0aluoQHE3XMNRThAgYp.jpg,0000147617-e4eb190337827f8bbbcc9317d,0000147617-e4eb190337827f8bbbcc9317d,train
0000161190-eff4a7d6440628a6ed58e9d9a_jpg.rf.K9KZavCD3OWsUKFlMavf.jpg,0000161190-eff4a7d6440628a6ed58e9d9a,0000161190-eff4a7d6440628a6ed58e9d9a,train
001--1-_jpg.rf.wkSeYcM5YoL66nCZGlH7.jpg,001--1-,001,test
001--2-_jpg.rf.7EHquHvIY9vsPYQbsvMP.jpg,001--2-,001,test
0046490bus1780x390_jpg.rf.4X2sb1dVqwi3z3js8BTJ.jpg,0046490bus1780x390,0046490bus1780x390,train
010_LS25_jpg.rf.kbnxvBAmVuTJ5fwJ54Up.jpg,010_LS25,010_LS25,train
013877-1-lg_jpg.rf.hQfy6f5auJqRzGwNcnZ9.jpg,013877-1-lg,013877-1-lg,train
018_jpg.rf.0XFeoyZQ48aVSPqgpeqq.jpg,018,018,train
031213065446_jpg.rf.KoL0iGXEo17dLpmiBktF.jpg,031213065446,031213065446,train
031213082113_jpg.rf.GPbsRn023cYNGve7V7a5.jpg,031213082113,031213082113,train
077006000_1466184933-kepala_kuning_jpg.rf.ut2EPnAV6KYmeFdZgdYH.jpg,077006000_1466184933-kepala_kuning,077006000_1466184933-kepala_kuning,train
0ed5b30d578ecfa7a65f-1296x954_jpg.rf.eZa3yZ0Bpot5RwD3Z5o9.jpg,0ed5b30d578ecfa7a65f-1296x954,0ed5b30d578ecfa7a65f-1296x954,train
101_1184_jpg.rf.mwnbApr7tM4bxHfAHISo.jpg,101_1184,101,test
101_1989_jpg.rf.aEBkTDHD43IXVUSlU5XM.jpg,101_1989,101,test
101_2257_jpg.rf.aHGbZRugV1vknghARKLe.jpg,101_2257,101,test
101_2265_jpg.rf.ic06sdv1YV1zRMcxMC61.jpg,101_2265,101,test
101_2269_jpg.rf.s076KlyzgjjVa3pQWZdN.jpg,101_2269,101,test
101_2281_jpg.rf.0vhB8rx1VydlzpMTug9i.jpg,101_2281,101,test
101_2285_jpg.rf.ilx7hI28oV2swsiqjL8y.jpg,101_2285,101,test
1048309-1000xauto-bus-klub-indonesia_jpg.rf.rTX8N391lugPT5hgHUrX.jpg,1048309-1000xauto-bus-klub-indonesia,1048309-1000xauto-bus-klub-indonesia,train
10486057103_d8a7fd109b_b_jpg.rf.oLCjUNV5aNU5SZgcO7yH.jpg,10486057103_d8a7fd109b_b,10486057103_d8a7fd109b_b,train
10_JPG_jpg.rf.ZQUYB4hIvBygOTZCgAXS.jpg,10_JPG,10_JPG,train
1131506fuso1780x390_jpg.rf.N898UbrjOPzEn56mq7w0.jpg,1131506fuso1780x390,1131506fuso1780x390,train
11546_Sb4733_14_jpg.rf.hT06HP2mHYo32oRe51R8.jpg,11546_Sb4733_14,11546_Sb4733,train
12745909_911990905563681_71866727339_jpg.rf.Z5KEZ6gFdgw25kuyrtuW.jpg,12745909_911990905563681_71866727339,12745909_911990905563681,train
