interval,class,direction,y,yhat,abs_err
0,big-vehicle,in,0,0,0.0
0,big-vehicle,out,0,0,0.0
0,car,in,0,0,0.0
0,car,out,1,0,1.0
0,two-wheeler,in,9,8,1.0
0,two-wheeler,out,3,1,2.0
1,big-vehicle,in,0,1,1.0
1,big-vehicle,out,0,0,0.0
1,car,in,1,1,0.0
1,car,out,0,0,0.0
1,two-wheeler,in,12,8,4.0
1,two-wheeler,out,0,0,0.0
2,big-vehicle,in,0,0,0.0
2,big-vehicle,out,0,0,0.0
2,car,in,0,0,0.0
2,car,out,2,1,1.0
2,two-wheeler,in,6,6,0.0
2,two-wheeler,out,6,4,2.0
3,big-vehicle,in,0,0,0.0
3,big-vehicle,out,0,0,0.0
3,car,in,3,2,1.0
3,car,out,0,0,0.0
3,two-wheeler,in,5,4,1.0
3,two-wheeler,out,7,2,5.0
4,big-vehicle,in,0,0,0.0
4,big-vehicle,out,0,0,0.0
4,car,in,0,0,0.0
4,car,out,0,0,0.0
4,two-wheeler,in,3,2,1.0
4,two-wheeler,out,3,3,0.0
5,big-vehicle,in,0,0,0.0
5,big-vehicle,out,0,0,0.0
5,car,in,1,1,0.0
5,car,out,0,0,0.0
5,two-wheeler,in,4,4,0.0
5,two-wheeler,out,4,0,4.0
6,big-vehicle,in,1,1,0.0
6,big-vehicle,out,0,0,0.0
6,car,in,0,0,0.0
6,car,out,0,0,0.0
6,two-wheeler,in,6,5,1.0
6,two-wheeler,out,7,2,5.0
7,big-vehicle,in,0,0,0.0
7,big-vehicle,out,0,0,0.0
7,car,in,0,0,0.0
7,car,out,1,2,1.0
7,two-wheeler,in,4,4,0.0
7,two-wheeler,out,6,3,3.0
8,big-vehicle,in,1,0,1.0
8,big-vehicle,out,0,0,0.0
8,car,in,0,1,1.0
8,car,out,0,0,0.0
8,two-wheeler,in,5,3,2.0
8,two-wheeler,out,5,1,4.0
9,big-vehicle,in,0,0,0.0
9,big-vehicle,out,0,0,0.0
9,car,in,0,0,0.0
9,car,out,0,0,0.0
9,two-wheeler,in,8,8,0.0
9,two-wheeler,out,2,1,1.0
