interval,class,direction,count
0,big-vehicle,in,1
0,car,in,2
0,car,out,2
0,two-wheeler,in,7
0,two-wheeler,out,8
1,big-vehicle,out,1
1,car,in,11
1,car,out,6
1,two-wheeler,in,5
1,two-wheeler,out,8
2,big-vehicle,in,1
2,big-vehicle,out,2
2,car,in,4
2,car,out,5
2,two-wheeler,in,6
2,two-wheeler,out,9
3,big-vehicle,out,1
3,car,in,5
3,car,out,9
3,two-wheeler,in,12
3,two-wheeler,out,5
4,big-vehicle,in,1
4,car,in,2
4,car,out,2
4,two-wheeler,in,7
4,two-wheeler,out,7
5,big-vehicle,in,1
5,big-vehicle,out,1
5,car,in,9
5,car,out,2
5,two-wheeler,in,5
5,two-wheeler,out,5
6,big-vehicle,in,1
6,big-vehicle,out,1
6,car,in,1
6,car,out,4
6,two-wheeler,in,3
6,two-wheeler,out,9
7,big-vehicle,out,2
7,car,in,4
7,car,out,7
7,two-wheeler,in,4
7,two-wheeler,out,4
8,big-vehicle,in,1
8,big-vehicle,out,2
8,car,in,4
8,car,out,7
8,two-wheeler,in,9
8,two-wheeler,out,2
9,big-vehicle,in,1
9,big-vehicle,out,1
9,car,in,15
9,car,out,9
9,two-wheeler,in,7
9,two-wheeler,out,9
