interval,class,direction,y,yhat,abs_err
0,big-vehicle,in,0,0,0.0
0,big-vehicle,out,0,0,0.0
0,car,in,0,0,0.0
0,car,out,2,0,2.0
0,two-wheeler,in,20,11,9.0
0,two-wheeler,out,19,14,5.0
1,big-vehicle,in,0,0,0.0
1,big-vehicle,out,0,0,0.0
1,car,in,0,0,0.0
1,car,out,0,0,0.0
1,two-wheeler,in,12,9,3.0
1,two-wheeler,out,9,8,1.0
2,big-vehicle,in,1,0,1.0
2,big-vehicle,out,0,0,0.0
2,car,in,3,0,3.0
2,car,out,0,0,0.0
2,two-wheeler,in,18,9,9.0
2,two-wheeler,out,33,22,11.0
3,big-vehicle,in,0,0,0.0
3,big-vehicle,out,0,0,0.0
3,car,in,1,0,1.0
3,car,out,1,0,1.0
3,two-wheeler,in,27,19,8.0
3,two-wheeler,out,15,10,5.0
4,big-vehicle,in,1,0,1.0
4,big-vehicle,out,1,0,1.0
4,car,in,0,0,0.0
4,car,out,0,0,0.0
4,two-wheeler,in,24,19,5.0
4,two-wheeler,out,19,19,0.0
5,big-vehicle,in,2,0,2.0
5,big-vehicle,out,0,0,0.0
5,car,in,1,0,1.0
5,car,out,2,0,2.0
5,two-wheeler,in,18,13,5.0
5,two-wheeler,out,17,14,3.0
6,big-vehicle,in,0,0,0.0
6,big-vehicle,out,0,0,0.0
6,car,in,1,0,1.0
6,car,out,2,0,2.0
6,two-wheeler,in,21,12,9.0
6,two-wheeler,out,16,16,0.0
7,big-vehicle,in,0,0,0.0
7,big-vehicle,out,0,0,0.0
7,car,in,1,0,1.0
7,car,out,1,0,1.0
7,two-wheeler,in,13,11,2.0
7,two-wheeler,out,20,16,4.0
8,big-vehicle,in,0,0,0.0
8,big-vehicle,out,0,0,0.0
8,car,in,2,0,2.0
8,car,out,1,0,1.0
8,two-wheeler,in,17,12,5.0
8,two-wheeler,out,21,19,2.0
9,big-vehicle,in,1,0,1.0
9,big-vehicle,out,0,0,0.0
9,car,in,0,0,0.0
9,car,out,2,0,2.0
9,two-wheeler,in,13,7,6.0
9,two-wheeler,out,21,19,2.0
