klip,kelas,arah,sistem,manual
2_vidiouji,big-vehicle,in,2,2
2_vidiouji,big-vehicle,out,0,0
2_vidiouji,car,in,5,5
2_vidiouji,car,out,3,4
2_vidiouji,two-wheeler,in,52,62
2_vidiouji,two-wheeler,out,17,43
3_vidiouji,big-vehicle,in,7,15
3_vidiouji,big-vehicle,out,11,26
3_vidiouji,car,in,57,60
3_vidiouji,car,out,53,50
3_vidiouji,two-wheeler,in,65,67
3_vidiouji,two-wheeler,out,66,78
4_vidiouji,big-vehicle,in,0,21
4_vidiouji,big-vehicle,out,0,0
4_vidiouji,car,in,133,303
4_vidiouji,car,out,0,0
4_vidiouji,two-wheeler,in,551,607
4_vidiouji,two-wheeler,out,0,0
