peringkat,citra,n_gt,n_terlewat,n_prediksi_palsu,kepadatan
1,night-traffic-9_mp4-0054_jpg.rf.p4LF0JiFfPHPn7SY9TO8.jpg,27,10,17,dense
2,night-traffic-9_mp4-0016_jpg.rf.WffaHuCEBQMaAKIlnFUM.jpg,21,8,6,medium
3,night-traffic-9_mp4-0004_jpg.rf.JSefgnA7taeSIUSsxVYq.jpg,16,8,8,medium
4,night-traffic-5_mp4-0044_jpg.rf.Q7niRBDJfqrygeJoKIWC.jpg,12,8,1,medium
5,night-traffic-5_mp4-0038_jpg.rf.wKrNa1nFHKgOdkPCX6Ba.jpg,12,8,2,medium
6,night-traffic-13_mp4-0024_jpg.rf.Ly6HqaPTVKsm1Ig5nEF1.jpg,18,8,0,medium
7,night-traffic-13_mp4-0023_jpg.rf.2olI6pWdBzUebS5SPqMb.jpg,17,8,1,medium
8,night-traffic-9_mp4-0014_jpg.rf.t8C37McK33aEt8zB9WG6.jpg,18,7,8,medium
9,night-traffic-9_mp4-0003_jpg.rf.ofG5LcebjiyLvZVi8hjX.jpg,16,7,7,medium
10,night-traffic-13_mp4-0029_jpg.rf.Rp8KdaNYipMB6F7u1Sln.jpg,13,7,3,medium
