epoch,stability,assigned_frac,anchors_per_gt,DR,miss_frac,dup_frac,cm_mean,cm_median
1,nan,1.0000,1.000,0.0067,0.9933,0.0000,0.0223,0.0086
2,0.2422,1.0000,1.000,0.9022,0.4800,0.2800,0.1408,0.0825
3,0.3289,1.0000,1.000,1.2467,0.3311,0.3711,0.1964,0.1292
4,0.4311,1.0000,1.000,1.1311,0.2533,0.3356,0.2963,0.2322
5,0.5556,1.0000,1.000,1.0044,0.2556,0.2400,0.3535,0.2914
6,0.6022,1.0000,1.000,0.9622,0.2511,0.2022,0.4029,0.3568
7,0.6311,1.0000,1.000,0.7978,0.3022,0.0978,0.3818,0.3083
8,0.5956,1.0000,1.000,0.8422,0.2556,0.0978,0.4165,0.3730
9,0.6667,1.0000,1.000,1.0467,0.1533,0.1911,0.4929,0.5177
10,0.6800,1.0000,1.000,1.0111,0.1778,0.1889,0.5019,0.5291
11,0.6178,1.0000,1.000,0.7311,0.3333,0.0644,0.4148,0.3660
12,0.6178,1.0000,1.000,0.8956,0.1933,0.0889,0.4969,0.5101
13,0.6444,1.0000,1.000,0.8933,0.2244,0.1178,0.5316,0.5887
14,0.6333,1.0000,1.000,0.8600,0.2089,0.0689,0.5581,0.6393
15,0.6556,1.0000,1.000,0.9200,0.1556,0.0756,0.5884,0.6966
16,0.6733,1.0000,1.000,0.6956,0.3378,0.0333,0.4183,0.4101
17,0.6467,1.0000,1.000,0.9422,0.1378,0.0756,0.6115,0.7406
18,0.6600,1.0000,1.000,0.8022,0.2467,0.0489,0.5532,0.6571
19,0.6600,1.0000,1.000,0.9267,0.1667,0.0911,0.5833,0.7195
20,0.6489,1.0000,1.000,0.8711,0.1956,0.0667,0.5478,0.6121
21,0.5889,1.0000,1.000,0.8889,0.1911,0.0800,0.5873,0.6959
22,0.6822,1.0000,1.000,0.9200,0.1778,0.0978,0.5779,0.7053
23,0.6778,1.0000,1.000,0.9444,0.1489,0.0911,0.6353,0.7838
24,0.6244,1.0000,1.000,0.8600,0.2089,0.0689,0.5940,0.7374
25,0.6111,1.0000,1.000,0.8489,0.2089,0.0578,0.5483,0.6495
26,0.6978,1.0000,1.000,0.8156,0.2378,0.0511,0.5315,0.6405
27,0.6778,1.0000,1.000,0.8267,0.2044,0.0311,0.5978,0.7486
28,0.6244,1.0000,1.000,0.8578,0.1822,0.0400,0.5747,0.6980
29,0.5800,1.0000,1.000,0.8556,0.2089,0.0622,0.5776,0.7083
30,0.6489,1.0000,1.000,0.8778,0.1911,0.0689,0.5928,0.7126
31,0.6200,1.0000,1.000,0.8867,0.1933,0.0800,0.5595,0.6704
