epoch,stability,assigned_frac,anchors_per_gt,DR,miss_frac,dup_frac,cm_mean,cm_median
1,nan,1.0000,1.000,0.8133,0.2333,0.0444,0.5025,0.5639
2,0.6711,1.0000,1.000,1.0356,0.1178,0.1467,0.6333,0.7635
3,0.5556,1.0000,1.000,0.9711,0.1444,0.1111,0.5577,0.6389
4,0.6333,1.0000,1.000,0.8956,0.1889,0.0844,0.5436,0.6179
5,0.5467,1.0000,1.000,0.9778,0.1533,0.1244,0.5638,0.6573
6,0.6244,1.0000,1.000,0.9556,0.1356,0.0889,0.6363,0.7810
7,0.4978,1.0000,1.000,0.7933,0.2511,0.0444,0.5238,0.6284
8,0.5489,1.0000,1.000,0.9156,0.1578,0.0711,0.5954,0.7179
9,0.5644,1.0000,1.000,0.9244,0.1378,0.0600,0.6154,0.7652
10,0.5356,1.0000,1.000,0.8178,0.2200,0.0378,0.5473,0.6871
11,0.6311,1.0000,1.000,0.8778,0.1933,0.0711,0.5386,0.6131
12,0.6244,1.0000,1.000,0.8822,0.1756,0.0556,0.5850,0.6866
13,0.6489,1.0000,1.000,0.8956,0.1978,0.0911,0.5607,0.6896
14,0.5600,1.0000,1.000,0.8556,0.1822,0.0378,0.5973,0.7187
15,0.6311,1.0000,1.000,0.9356,0.1400,0.0711,0.6233,0.7718
16,0.6133,1.0000,1.000,0.7933,0.2444,0.0356,0.5551,0.6805
17,0.6578,1.0000,1.000,0.9600,0.1267,0.0800,0.6320,0.7748
18,0.6267,1.0000,1.000,0.9333,0.1800,0.1089,0.5998,0.7739
19,0.6533,1.0000,1.000,0.9000,0.1467,0.0467,0.6402,0.7877
20,0.6733,1.0000,1.000,0.9067,0.1644,0.0689,0.6088,0.7577
21,0.6222,1.0000,1.000,0.8800,0.1689,0.0489,0.6434,0.8127
22,0.7000,1.0000,1.000,0.8689,0.2022,0.0689,0.5976,0.7552
23,0.6133,1.0000,1.000,0.9333,0.1489,0.0800,0.6536,0.8488
24,0.5689,1.0000,1.000,0.8822,0.1933,0.0733,0.5996,0.7623
25,0.6333,1.0000,1.000,0.6889,0.3267,0.0156,0.5178,0.6210
26,0.6867,1.0000,1.000,0.7822,0.2600,0.0400,0.5288,0.6715
27,0.6378,1.0000,1.000,0.7978,0.2289,0.0267,0.6023,0.7611
28,0.6089,1.0000,1.000,0.8622,0.2178,0.0800,0.5626,0.7066
29,0.6111,1.0000,1.000,0.8267,0.2089,0.0356,0.6284,0.8038
30,0.6178,1.0000,1.000,0.9133,0.1756,0.0889,0.5962,0.7496
31,0.6244,1.0000,1.000,0.7022,0.3267,0.0289,0.4523,0.4671
32,0.6889,1.0000,1.000,0.7911,0.2422,0.0333,0.5764,0.7499
33,0.6889,1.0000,1.000,0.8956,0.1622,0.0533,0.6317,0.7927
34,0.7133,1.0000,1.000,0.7600,0.2667,0.0267,0.5573,0.7255
35,0.6467,1.0000,1.000,0.7044,0.3156,0.0200,0.5200,0.6343
36,0.7400,1.0000,1.000,0.8533,0.1800,0.0333,0.6436,0.8136
37,0.6822,1.0000,1.000,0.7511,0.2689,0.0200,0.5570,0.7126
38,0.6867,1.0000,1.000,0.8600,0.1800,0.0400,0.6248,0.7820
39,0.6911,1.0000,1.000,0.7156,0.3089,0.0222,0.4979,0.5764
