epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,141.566,1.44721,2.23156,0.00582,0.77015,0.75354,0.80623,0.62291,1.01752,1.23206,0.01455,0.00993289,0.00331096,0.00993289,0.00331096,0.0768233,0.0702013,0.00993289,0.00331096
2,216.135,1.39231,0.99444,0.00563,0.78633,0.73501,0.80175,0.59007,1.17057,1.34523,0.01867,0.0199323,0.00664411,0.0199323,0.00664411,0.0534894,0.0402012,0.0199323,0.00664411
3,277.465,1.42866,0.97694,0.0059,0.76767,0.77997,0.83511,0.6138,1.17153,1.06921,0.02007,0.0299296,0.00997655,0.0299296,0.00997655,0.0301533,0.0102003,0.0299296,0.00997655
4,336.903,1.44674,0.99391,0.00641,0.71918,0.72053,0.77407,0.54456,1.2776,1.22013,0.02113,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,398.187,1.44046,0.93507,0.00633,0.78593,0.73544,0.81955,0.57972,1.30873,1.20999,0.02503,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,458.947,1.41952,0.88353,0.00625,0.77184,0.74995,0.80799,0.55574,1.396,1.27953,0.02693,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,521.347,1.39958,0.83439,0.00602,0.79351,0.70444,0.79491,0.56577,1.30891,1.21246,0.02072,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,583.4,1.39074,0.82946,0.00591,0.78202,0.75072,0.81688,0.55872,1.45438,1.21516,0.02821,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,645.067,1.39093,0.82677,0.00595,0.82094,0.78916,0.87136,0.61385,1.29157,1.00763,0.02226,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,706.139,1.36702,0.80538,0.00579,0.74688,0.72193,0.78206,0.55738,1.34671,1.33493,0.02272,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,767.347,1.34775,0.77071,0.00575,0.76632,0.73899,0.79101,0.57994,1.27274,1.33449,0.02222,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,829.542,1.32631,0.76194,0.00577,0.76661,0.7634,0.83258,0.588,1.29052,1.08777,0.0222,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,893.088,1.33999,0.75003,0.0056,0.7579,0.74088,0.80991,0.5726,1.35454,1.27085,0.02482,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,956.147,1.30235,0.75089,0.00561,0.78266,0.74843,0.83861,0.58623,1.28465,1.01972,0.02111,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,1018.9,1.3108,0.72683,0.00561,0.77327,0.76899,0.83432,0.6016,1.29245,1.1529,0.02247,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,1081.74,1.29319,0.71341,0.00542,0.76424,0.70972,0.78461,0.55247,1.36655,1.31625,0.02315,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
17,1145.38,1.28344,0.70787,0.00534,0.8073,0.77081,0.83824,0.59324,1.25713,1.11767,0.01972,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
18,1207.7,1.27948,0.70439,0.0054,0.76421,0.75917,0.81932,0.59127,1.30391,1.25495,0.02242,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177
19,1269.81,1.28069,0.70273,0.00545,0.81449,0.77022,0.84151,0.61581,1.21628,1.07918,0.02055,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
20,1332.01,1.26489,0.68331,0.00537,0.8219,0.77586,0.85754,0.60119,1.31079,1.03278,0.022,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234
21,1394.84,1.25253,0.68551,0.00539,0.81976,0.77118,0.8537,0.63126,1.21538,1.14668,0.02087,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
22,1460.71,1.25429,0.67398,0.00531,0.82394,0.71999,0.81963,0.59103,1.28322,1.19681,0.02186,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
23,1521.4,1.2423,0.65844,0.00513,0.82273,0.74401,0.83617,0.60586,1.31939,1.18519,0.0242,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
24,1582.1,1.24348,0.65594,0.00523,0.7908,0.75861,0.82991,0.60326,1.33638,1.15517,0.02506,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711
25,1644.38,1.22858,0.64145,0.00513,0.75496,0.72412,0.79359,0.55547,1.3557,1.22058,0.02336,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
26,1706.84,1.22873,0.6358,0.00505,0.79107,0.72333,0.80492,0.57032,1.30095,1.24214,0.02175,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
27,1768.52,1.2381,0.6368,0.00507,0.76981,0.77322,0.83126,0.59449,1.31357,1.19846,0.02339,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
28,1830.12,1.19358,0.63972,0.00517,0.792,0.74898,0.84414,0.62608,1.19571,1.04911,0.01998,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
29,1891.85,1.20425,0.64637,0.00515,0.77642,0.70672,0.80318,0.59583,1.27226,1.2092,0.02363,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
30,1952.22,1.23052,0.63592,0.00504,0.80641,0.74745,0.83887,0.60621,1.26888,1.09709,0.02239,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,2012.97,1.20815,0.62898,0.00492,0.70378,0.6865,0.76162,0.55511,1.38217,1.47456,0.02701,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,2073.27,1.19157,0.6182,0.00496,0.76803,0.73015,0.80185,0.56157,1.35236,1.17936,0.02365,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,2134.25,1.20456,0.61935,0.00498,0.75093,0.76066,0.80844,0.58182,1.34389,1.13164,0.02489,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,2194.35,1.19952,0.61843,0.00503,0.79251,0.67534,0.77416,0.57037,1.38414,1.59975,0.02558,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,2254.6,1.19024,0.60869,0.00496,0.74022,0.69952,0.77009,0.56566,1.32039,1.46722,0.02472,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,2314.61,1.17072,0.59841,0.00489,0.79433,0.77817,0.8371,0.5995,1.31009,1.23518,0.02268,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
37,2373.13,1.18371,0.59635,0.00493,0.80597,0.73515,0.82369,0.60708,1.2218,1.13267,0.02005,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
38,2430.94,1.16617,0.58375,0.00486,0.81813,0.75836,0.84952,0.61735,1.2349,1.05422,0.02097,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306
39,2488.79,1.15034,0.58779,0.00488,0.81732,0.71368,0.82172,0.5883,1.25668,1.17294,0.01982,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
40,2546.54,1.17745,0.59756,0.00485,0.82759,0.78135,0.85966,0.62486,1.24815,1.02225,0.02041,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
41,2604.66,1.1595,0.57269,0.00476,0.79981,0.79478,0.84679,0.6212,1.25394,1.11744,0.02062,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
42,2662.72,1.16176,0.58823,0.00478,0.82809,0.73863,0.82947,0.58945,1.2927,1.10036,0.02029,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072
43,2720.83,1.14987,0.57153,0.00465,0.77317,0.73402,0.80094,0.57858,1.33567,1.44033,0.02262,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
44,2778.82,1.1642,0.57789,0.00471,0.80926,0.747,0.82915,0.612,1.22231,1.2163,0.01963,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658
45,2836.91,1.13448,0.5622,0.00468,0.8173,0.76949,0.85054,0.61073,1.29987,1.06218,0.02241,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
46,2894.95,1.14919,0.57039,0.00461,0.85418,0.73963,0.85102,0.62017,1.28205,1.12521,0.02176,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
47,2952.91,1.14017,0.5631,0.00463,0.80718,0.76913,0.85016,0.61664,1.24067,1.10817,0.01953,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
48,3011.15,1.15702,0.56291,0.00453,0.82088,0.76791,0.85376,0.62749,1.20891,1.11992,0.01883,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245
49,3069.54,1.14457,0.5594,0.00458,0.82333,0.801,0.85038,0.62391,1.20097,1.08301,0.0183,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
50,3127.63,1.13027,0.55359,0.00459,0.81063,0.73595,0.82529,0.61012,1.22467,1.17424,0.01978,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251
51,3185.63,1.12856,0.55329,0.00462,0.7585,0.68953,0.76829,0.55862,1.34359,1.29536,0.02391,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
52,3243.64,1.12676,0.54598,0.00447,0.84092,0.75998,0.85268,0.62202,1.21255,1.1379,0.01936,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
53,3301.68,1.12164,0.54501,0.00442,0.79996,0.69,0.79639,0.5843,1.26315,1.33558,0.02113,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
54,3359.56,1.12329,0.54663,0.00452,0.78852,0.77827,0.84616,0.62143,1.24121,1.12554,0.02097,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697
55,3417.46,1.11436,0.54991,0.00451,0.80928,0.75369,0.82342,0.59488,1.28315,1.18642,0.02179,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
56,3475.23,1.10131,0.53878,0.00454,0.79828,0.71897,0.79682,0.58469,1.2225,1.22589,0.019,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
57,3533.12,1.13102,0.54797,0.00442,0.80773,0.71312,0.81167,0.60035,1.22398,1.29768,0.01993,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
58,3591.45,1.12208,0.53207,0.00434,0.77716,0.72732,0.81185,0.60616,1.13623,1.18408,0.01711,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
59,3649.44,1.1017,0.53666,0.00433,0.7831,0.74158,0.82316,0.6048,1.22473,1.14327,0.01915,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
60,3707.81,1.09884,0.52023,0.00436,0.79066,0.72985,0.80945,0.59531,1.24261,1.26514,0.02034,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488
61,3766.17,1.10163,0.5302,0.00439,0.79675,0.76696,0.84351,0.62498,1.21706,1.12113,0.01969,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
62,3824.04,1.10641,0.53681,0.00432,0.80817,0.75403,0.83418,0.61664,1.16387,1.10032,0.01728,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395
63,3882.64,1.09678,0.52179,0.00424,0.78172,0.7261,0.79375,0.58571,1.23047,1.38802,0.01984,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
64,3940.31,1.07266,0.52027,0.00449,0.82323,0.76807,0.84075,0.61343,1.23393,1.19823,0.01881,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
65,3998.38,1.07729,0.52157,0.00436,0.7962,0.75647,0.81917,0.60802,1.21243,1.21273,0.01852,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
66,4056.33,1.09423,0.51584,0.00421,0.76661,0.74814,0.81774,0.61567,1.19421,1.17818,0.01966,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
67,4114.4,1.08423,0.52136,0.00425,0.80958,0.73188,0.80919,0.60148,1.17046,1.29127,0.01834,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
68,4172.4,1.08499,0.5167,0.00427,0.80251,0.77938,0.85155,0.6237,1.1984,1.09797,0.01883,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079,0.0264924,0.00883079
69,4230.68,1.07953,0.51169,0.00437,0.80793,0.76234,0.83664,0.61653,1.28323,1.1859,0.02169,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
70,4288.46,1.06057,0.50242,0.0042,0.82665,0.76058,0.84838,0.62747,1.2414,1.09895,0.02131,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
71,4346.38,1.07532,0.51397,0.00425,0.82604,0.75186,0.84552,0.61007,1.29812,1.21431,0.02256,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
