epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,88.8198,1.90456,3.71828,0.00729,0.68548,0.71566,0.75231,0.56885,1.1753,1.86685,0.01403,0.00993289,0.00331096,0.00993289,0.00331096,0.0768233,0.0702013,0.00993289,0.00331096
2,162.737,1.76988,1.41259,0.00679,0.8162,0.77785,0.85393,0.63811,1.22741,1.18537,0.01568,0.0199323,0.00664411,0.0199323,0.00664411,0.0534894,0.0402012,0.0199323,0.00664411
3,227.796,1.80036,1.18534,0.007,0.7967,0.74196,0.83003,0.58876,1.47038,1.27438,0.02212,0.0299296,0.00997655,0.0299296,0.00997655,0.0301533,0.0102003,0.0299296,0.00997655
4,290.557,1.78365,1.14895,0.00734,0.73268,0.75131,0.78836,0.5437,1.51476,1.36668,0.02491,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,353.825,1.8043,1.10904,0.00745,0.80725,0.78172,0.84984,0.59002,1.50416,1.1603,0.02374,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,416.49,1.75905,1.04389,0.00736,0.74279,0.77696,0.81629,0.56502,1.44124,1.17851,0.02045,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,479.593,1.73918,0.99237,0.00709,0.77064,0.75693,0.82212,0.55509,1.62114,1.22422,0.02973,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,541.907,1.72979,0.97799,0.00695,0.76353,0.68675,0.7703,0.53322,1.6047,1.50122,0.02774,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,605.037,1.72492,0.97094,0.00692,0.76056,0.77864,0.83568,0.5837,1.44575,1.15561,0.0225,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,667.409,1.70283,0.94462,0.00673,0.8009,0.77372,0.84621,0.5718,1.57912,1.22029,0.02578,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,730.346,1.66354,0.91266,0.00664,0.78107,0.78289,0.83817,0.60685,1.46818,1.19739,0.0238,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,792.888,1.63509,0.89804,0.0067,0.79421,0.7701,0.8493,0.60796,1.41701,1.19631,0.02132,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,855.957,1.66661,0.89075,0.00652,0.81464,0.79208,0.87195,0.60862,1.49033,1.05288,0.0237,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,918.259,1.61539,0.86829,0.0065,0.80111,0.76868,0.84328,0.60002,1.49285,1.2126,0.02299,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,981.637,1.62399,0.86182,0.00645,0.82074,0.79023,0.87332,0.61847,1.45615,1.05439,0.02193,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,1045.27,1.60087,0.83733,0.00631,0.78916,0.70063,0.77783,0.55762,1.57166,1.55769,0.02633,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
17,1111.94,1.59284,0.83187,0.00624,0.81236,0.80337,0.86736,0.63465,1.34519,1.08203,0.01936,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
18,1179.16,1.58782,0.83155,0.00626,0.77019,0.7612,0.81575,0.59301,1.46497,1.32405,0.02317,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177
19,1248.05,1.56919,0.80838,0.00623,0.82296,0.76011,0.83931,0.58885,1.48788,1.27271,0.02324,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
20,1310.91,1.56542,0.80054,0.00617,0.8104,0.70475,0.80975,0.57576,1.50015,1.39274,0.02449,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234
21,1373.82,1.54816,0.79886,0.00622,0.78737,0.74023,0.80987,0.58408,1.4778,1.40068,0.02385,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
22,1436.25,1.55598,0.80138,0.00619,0.7651,0.76429,0.82279,0.59106,1.43869,1.37617,0.02371,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
23,1498.89,1.53689,0.77998,0.00598,0.7792,0.78611,0.84915,0.6059,1.44949,1.15739,0.02337,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
24,1561.43,1.54923,0.78573,0.00612,0.77965,0.73702,0.8107,0.58699,1.56345,1.35469,0.02701,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711
25,1624.44,1.51915,0.77942,0.006,0.7788,0.74125,0.80103,0.55881,1.55376,1.48597,0.02539,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
26,1686.88,1.52406,0.76655,0.00586,0.82158,0.76075,0.8499,0.60976,1.42098,1.16362,0.02208,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
27,1749.9,1.53071,0.75735,0.0059,0.80521,0.74052,0.83258,0.60776,1.42293,1.33243,0.02219,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
28,1812.75,1.47403,0.75409,0.00603,0.77999,0.77514,0.83057,0.59462,1.4269,1.20759,0.02184,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
29,1875.33,1.49034,0.75379,0.00599,0.7961,0.73143,0.81867,0.5918,1.51749,1.29197,0.0255,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
30,1937.87,1.51656,0.75091,0.00581,0.79998,0.77429,0.84726,0.61996,1.3911,1.18641,0.02204,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,2001.21,1.49369,0.7392,0.00576,0.74021,0.72554,0.79081,0.59262,1.38568,1.36197,0.02157,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,2064.24,1.46771,0.72233,0.00573,0.81506,0.73867,0.8316,0.60623,1.40018,1.23447,0.02202,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,2127.34,1.495,0.72642,0.00576,0.78822,0.79063,0.84857,0.61317,1.50841,1.23882,0.02482,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,2190.07,1.47468,0.73112,0.00579,0.77533,0.75983,0.81533,0.57965,1.48903,1.40544,0.0238,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,2253.23,1.46595,0.71994,0.00579,0.78239,0.78254,0.83882,0.59286,1.49309,1.19257,0.02486,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,2315.71,1.44425,0.7141,0.00572,0.78666,0.75809,0.81662,0.59344,1.46993,1.33136,0.02469,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
37,2378.19,1.44775,0.7092,0.00564,0.77781,0.80554,0.84303,0.59677,1.47803,1.13781,0.02374,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
38,2440.1,1.43338,0.68828,0.0056,0.81577,0.77598,0.85767,0.60878,1.42885,1.15162,0.0222,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306
39,2501.92,1.41749,0.68659,0.00564,0.77785,0.79793,0.84913,0.59587,1.55502,1.1346,0.02591,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
40,2563.72,1.44803,0.70954,0.0056,0.82429,0.76639,0.85445,0.61449,1.42739,1.15332,0.02159,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
41,2625.97,1.42968,0.68461,0.00552,0.8187,0.79665,0.86786,0.6289,1.46977,1.12363,0.02314,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
42,2687.99,1.44593,0.68817,0.0056,0.83419,0.77669,0.85874,0.61221,1.4907,1.18626,0.02414,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072
43,2749.61,1.41681,0.67699,0.00541,0.80193,0.78427,0.8335,0.60404,1.53395,1.33797,0.0264,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
44,2811.55,1.43386,0.67729,0.00544,0.82451,0.75448,0.83577,0.58384,1.48578,1.30837,0.0229,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658
45,2873.46,1.39578,0.65819,0.0054,0.85994,0.75978,0.85739,0.62108,1.41991,1.18872,0.0216,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
46,2935.3,1.42447,0.67282,0.00534,0.82475,0.76793,0.84325,0.61359,1.48021,1.24176,0.02436,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
47,2997.09,1.41117,0.66643,0.00542,0.79393,0.78232,0.85164,0.61077,1.46863,1.2656,0.02327,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
48,3058.98,1.4359,0.66786,0.00531,0.8131,0.80506,0.87382,0.61994,1.42354,1.14225,0.02182,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245
49,3121.12,1.41644,0.65822,0.00529,0.82523,0.77812,0.86398,0.61878,1.3336,1.10762,0.01827,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
50,3183.04,1.40569,0.65975,0.00537,0.77417,0.73212,0.80844,0.58718,1.46531,1.39916,0.02341,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251
51,3244.88,1.3993,0.65777,0.00535,0.75043,0.73222,0.79925,0.58103,1.46736,1.32709,0.02508,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
52,3306.84,1.39948,0.65481,0.00526,0.82287,0.7785,0.85354,0.63716,1.32807,1.15566,0.0206,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
