epoch,stability,assigned_frac,anchors_per_gt,DR,miss_frac,dup_frac,cm_mean,cm_median
1,nan,1.0000,1.000,0.0467,0.9600,0.0067,0.0288,0.0119
2,0.2800,1.0000,1.000,1.2156,0.3600,0.3889,0.1368,0.0929
3,0.3222,1.0000,1.000,1.1822,0.3067,0.3756,0.1865,0.1263
4,0.4111,1.0000,1.000,1.2333,0.2533,0.3867,0.2854,0.2049
5,0.6022,1.0000,1.000,1.1867,0.2311,0.3556,0.3333,0.2732
6,0.6533,1.0000,1.000,1.0800,0.2022,0.2578,0.4066,0.3673
7,0.6578,1.0000,1.000,1.0778,0.1733,0.2267,0.4651,0.4327
8,0.6933,1.0000,1.000,0.8200,0.3022,0.1156,0.3739,0.3065
9,0.6622,1.0000,1.000,1.0711,0.1556,0.2089,0.4907,0.5106
10,0.6533,1.0000,1.000,1.1000,0.1378,0.2222,0.5232,0.5406
11,0.6756,1.0000,1.000,0.9000,0.2000,0.0956,0.4973,0.5367
12,0.6933,1.0000,1.000,0.8044,0.2867,0.0911,0.4232,0.3894
13,0.6289,1.0000,1.000,1.0333,0.1467,0.1733,0.5407,0.6014
14,0.6489,1.0000,1.000,0.9467,0.2022,0.1467,0.5236,0.5984
15,0.6311,1.0000,1.000,1.0289,0.1356,0.1578,0.5868,0.7018
16,0.6511,1.0000,1.000,0.8311,0.2489,0.0800,0.4676,0.4870
17,0.6111,1.0000,1.000,0.8733,0.2022,0.0756,0.5557,0.6471
18,0.6911,1.0000,1.000,0.9044,0.1756,0.0800,0.5704,0.7079
19,0.6044,1.0000,1.000,0.8311,0.2422,0.0711,0.5303,0.6030
20,0.6978,1.0000,1.000,0.9178,0.1867,0.1022,0.5352,0.6387
21,0.5911,1.0000,1.000,0.9644,0.1511,0.1156,0.5998,0.7531
22,0.6489,1.0000,1.000,0.9000,0.1800,0.0800,0.5994,0.7321
23,0.6956,1.0000,1.000,0.9133,0.1667,0.0800,0.6220,0.7906
24,0.6644,1.0000,1.000,0.8378,0.2378,0.0756,0.5225,0.6282
25,0.6756,1.0000,1.000,0.9689,0.1289,0.0956,0.6435,0.8134
26,0.6800,1.0000,1.000,0.7467,0.3000,0.0467,0.4892,0.5818
27,0.6467,1.0000,1.000,0.8556,0.2133,0.0689,0.6006,0.7788
28,0.6644,1.0000,1.000,0.9444,0.1644,0.1089,0.6403,0.8363
29,0.5578,1.0000,1.000,0.9156,0.1556,0.0711,0.6230,0.7754
30,0.6467,1.0000,1.000,0.9200,0.1578,0.0756,0.6637,0.8446
