epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,374.248,2.64026,4.16072,0.01583,0.51747,0.315,0.3021,0.14626,2.39831,9.15512,0.06347,0.00993289,0.00331096,0.00993289,0.00331096,0.0768233,0.0702013,0.00993289,0.00331096
2,821.375,1.6821,2.3074,0.00916,0.49532,0.56122,0.51799,0.25461,1.66071,4.72685,0.03513,0.0199323,0.00664411,0.0199323,0.00664411,0.0534894,0.0402012,0.0199323,0.00664411
3,1196.09,1.52225,1.88127,0.00769,0.51132,0.58992,0.55161,0.3206,1.54008,4.04672,0.03146,0.0299296,0.00997655,0.0299296,0.00997655,0.0301533,0.0102003,0.0299296,0.00997655
4,1573.1,1.43681,1.63228,0.00741,0.5531,0.6346,0.62382,0.40943,1.33605,3.36437,0.02725,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,1855.05,1.35536,1.38022,0.00664,0.62247,0.64495,0.68052,0.41443,1.51674,3.00128,0.03236,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,2110.22,1.29461,1.22151,0.0063,0.714,0.68158,0.74634,0.48147,1.45917,2.51014,0.0298,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,2546.55,1.23218,1.0852,0.0058,0.74312,0.71979,0.77439,0.50072,1.38762,2.17133,0.02754,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,2904.03,1.222,1.00435,0.00563,0.62887,0.64738,0.65449,0.43514,1.38282,2.14135,0.02636,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,3405.59,1.20476,0.95482,0.00547,0.754,0.74348,0.79325,0.51583,1.41482,1.79958,0.02992,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,3817.27,1.16978,0.88664,0.00526,0.74084,0.72238,0.77868,0.52555,1.30114,1.60644,0.02553,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,4243.52,1.14976,0.8241,0.00515,0.76214,0.75469,0.81307,0.54258,1.25772,1.3972,0.02421,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,4642.92,1.12422,0.79547,0.00515,0.72161,0.74018,0.78276,0.53542,1.37911,1.4379,0.0286,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,5085.44,1.11889,0.76543,0.00486,0.73948,0.73931,0.78041,0.5135,1.35585,1.42306,0.02722,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,5416.52,1.10552,0.73997,0.00491,0.74692,0.73338,0.76969,0.53164,1.29683,1.30046,0.02593,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,5769.89,1.09504,0.71553,0.00484,0.79504,0.76729,0.83257,0.56481,1.27984,1.21386,0.02504,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,6055.49,1.07863,0.67766,0.00469,0.71942,0.69188,0.74604,0.51593,1.2858,1.40175,0.02506,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
17,6453.72,1.07879,0.66749,0.0046,0.77733,0.71762,0.80428,0.55135,1.2776,1.18823,0.02574,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
18,6882.24,1.0635,0.65766,0.00459,0.77595,0.77331,0.83719,0.59063,1.21402,1.06903,0.02277,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177
19,7329.7,1.05035,0.63385,0.00456,0.74885,0.75496,0.81192,0.55887,1.21396,1.08096,0.02258,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
20,7706.2,1.04283,0.62226,0.00452,0.80076,0.76853,0.83011,0.58136,1.15352,1.08519,0.02069,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234
21,8117.46,1.03225,0.62,0.0045,0.80767,0.78248,0.84713,0.58956,1.18763,0.98643,0.02114,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
22,8514.12,1.03483,0.60451,0.00446,0.79527,0.74267,0.81365,0.56258,1.26617,1.11566,0.02519,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
23,8954.23,1.02771,0.58901,0.00431,0.79629,0.76949,0.83805,0.57893,1.22308,0.97095,0.02251,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
24,9270.88,1.02013,0.58482,0.00435,0.77114,0.71624,0.79472,0.5471,1.33354,1.09495,0.0267,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711
25,9651.76,0.99844,0.56546,0.00422,0.80726,0.7681,0.83324,0.59052,1.19323,0.9657,0.02218,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
26,10104.1,1.00262,0.55521,0.00419,0.81757,0.68125,0.7863,0.53109,1.2373,1.13558,0.02198,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
27,10470.5,1.00216,0.55558,0.00418,0.78707,0.73719,0.80235,0.56023,1.31094,1.14607,0.02571,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
28,10778.3,0.98673,0.55256,0.00431,0.79544,0.72919,0.80924,0.56761,1.23791,1.10636,0.02387,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
29,11184.2,0.98598,0.54617,0.00421,0.79168,0.79982,0.85183,0.60995,1.19594,0.87254,0.02235,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
30,11596.1,0.98983,0.53547,0.0041,0.81577,0.78687,0.8464,0.6001,1.15992,0.98407,0.02178,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,11984.1,0.98204,0.53985,0.00406,0.78522,0.7682,0.83315,0.59638,1.15521,0.94215,0.02155,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,12374,0.9612,0.51821,0.00401,0.77952,0.75585,0.81736,0.59137,1.13791,0.98019,0.02072,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
