variant,class,dim,stratum,n_gt,AP50,AP50_95
V1,big-vehicle,global,all,331,0.8076,0.6451
V1,car,global,all,411,0.8301,0.6066
V1,pedestrian,global,all,638,0.7553,0.4285
V1,two-wheeler,global,all,702,0.7026,0.4210
V1,big-vehicle,size,small,17,0.3287,0.2134
V1,car,size,small,160,0.7076,0.4811
V1,pedestrian,size,small,257,0.6799,0.3672
V1,two-wheeler,size,small,489,0.6826,0.3868
V1,big-vehicle,size,medium,123,0.6346,0.4486
V1,car,size,medium,215,0.8856,0.6727
V1,pedestrian,size,medium,380,0.8067,0.4744
V1,two-wheeler,size,medium,212,0.7620,0.5085
V1,big-vehicle,size,large,191,0.9386,0.7960
V1,car,size,large,36,0.9709,0.7614
V1,pedestrian,size,large,1,0.9901,0.6436
V1,two-wheeler,size,large,1,0.4950,0.3960
V1,big-vehicle,occlusion,no,302,0.8050,0.6486
V1,car,occlusion,no,372,0.8267,0.6101
V1,pedestrian,occlusion,no,473,0.7494,0.4259
V1,two-wheeler,occlusion,no,636,0.7123,0.4307
V1,big-vehicle,occlusion,partial,27,0.6195,0.3990
V1,car,occlusion,partial,39,0.4844,0.2908
V1,pedestrian,occlusion,partial,163,0.4751,0.2336
V1,two-wheeler,occlusion,partial,66,0.1780,0.0712
V1,big-vehicle,occlusion,heavy,2,0.4951,0.2475
V1,car,occlusion,heavy,0,nan,nan
V1,pedestrian,occlusion,heavy,2,0.0154,0.0064
V1,two-wheeler,occlusion,heavy,0,nan,nan
V1,big-vehicle,density,sparse,260,0.8716,0.7174
V1,car,density,sparse,137,0.8496,0.6687
V1,pedestrian,density,sparse,21,0.7491,0.5190
V1,two-wheeler,density,sparse,228,0.7808,0.5077
V1,big-vehicle,density,medium,70,0.5910,0.3902
V1,car,density,medium,263,0.8337,0.5895
V1,pedestrian,density,medium,540,0.7635,0.4296
V1,two-wheeler,density,medium,453,0.6701,0.3836
V1,big-vehicle,density,dense,1,0.0000,0.0000
V1,car,density,dense,11,0.7833,0.4969
V1,pedestrian,density,dense,77,0.7259,0.4270
V1,two-wheeler,density,dense,21,0.6208,0.4148
V2,big-vehicle,global,all,331,0.7932,0.6288
V2,car,global,all,411,0.7948,0.5824
V2,pedestrian,global,all,638,0.7370,0.4289
V2,two-wheeler,global,all,702,0.6757,0.3932
V2,big-vehicle,size,small,17,0.2314,0.1720
V2,car,size,small,160,0.6441,0.4390
V2,pedestrian,size,small,257,0.6078,0.3495
V2,two-wheeler,size,small,489,0.6293,0.3470
V2,big-vehicle,size,medium,123,0.5739,0.3516
V2,car,size,medium,215,0.8699,0.6636
V2,pedestrian,size,medium,380,0.8386,0.4987
V2,two-wheeler,size,medium,212,0.7664,0.4955
V2,big-vehicle,size,large,191,0.9483,0.8201
V2,car,size,large,36,0.9673,0.7784
V2,pedestrian,size,large,1,0.9901,0.6231
V2,two-wheeler,size,large,1,0.9901,0.7921
