pair,family,metric,n,n_eff,W,p,p_holm,median_diff,mean_diff,rank_biserial,W_plus,W_minus,signif_5pct,min_n_gt,n_sel_dibuang,sel_dibuang
V8 vs V1,primary,ap5095,24,24,113,0.302899,,0.0119379,0.0106145,0.246667,187,113,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V4 vs V1,primary,ap5095,24,24,109,0.252249,,-0.0134025,-0.00946483,-0.273333,109,191,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V8 vs V5,primary,ap5095,24,24,78,0.0394816,,0.0166245,0.0186701,0.48,222,78,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V2,secondary,ap5095,24,24,64,0.0126048,0.277306,0.0156759,0.0201655,0.573333,236,64,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V3,secondary,ap5095,24,24,147,0.944107,1,-0.00500187,0.00165193,0.02,153,147,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V5,secondary,ap5095,24,24,107,0.22919,1,0.0177119,0.00805553,0.286667,193,107,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V6,secondary,ap5095,24,24,75,0.0314816,0.629632,0.0141669,0.0240699,0.5,225,75,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V7,secondary,ap5095,24,24,125,0.490799,1,0.0161468,0.0125688,0.166667,175,125,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V3,secondary,ap5095,24,24,83,0.0564266,1,-0.0220111,-0.0185135,-0.446667,83,217,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V4,secondary,ap5095,24,24,105,0.207617,1,-0.00884522,-0.0107007,-0.3,105,195,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V5,secondary,ap5095,24,24,108,0.240533,1,-0.00753742,-0.0121099,-0.28,108,192,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V6,secondary,ap5095,24,24,148,0.966447,1,-0.00483547,0.00390445,0.0133333,152,148,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V7,secondary,ap5095,24,24,131,0.603311,1,0.00141567,-0.00759664,-0.126667,131,169,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V8,secondary,ap5095,24,24,29,0.000205159,0.00492382,-0.0287071,-0.03078,-0.806667,29,271,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V3 vs V4,secondary,ap5095,24,24,119,0.390247,1,-0.00535595,0.0078129,0.206667,181,119,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V3 vs V5,secondary,ap5095,24,24,111,0.276815,1,0.0128506,0.00640361,0.26,189,111,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V3 vs V6,secondary,ap5095,24,24,72,0.0248636,0.522136,0.0209563,0.022418,0.52,228,72,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V3 vs V7,secondary,ap5095,24,24,139,0.768296,1,-0.000237115,0.0109169,0.0733333,161,139,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V3 vs V8,secondary,ap5095,24,24,75,0.0314816,0.629632,-0.0159326,-0.0122665,-0.5,75,225,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V4 vs V5,secondary,ap5095,24,24,139,0.768296,1,0.00060553,-0.00140929,0.0733333,161,139,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V4 vs V6,secondary,ap5095,24,24,98,0.14335,1,0.014839,0.0146051,0.346667,202,98,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V4 vs V7,secondary,ap5095,24,24,137,0.725741,1,-0.0145416,0.00310402,-0.0866667,137,163,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
