variant,class,dim,stratum,n_gt,AP50,AP50_95
V1,big-vehicle,global,all,154,0.6698,0.4599
V1,car,global,all,395,0.8389,0.6137
V1,pedestrian,global,all,624,0.7514,0.4231
V1,two-wheeler,global,all,695,0.7022,0.4216
V1,big-vehicle,size,small,15,0.3788,0.2469
V1,car,size,small,156,0.7135,0.4837
V1,pedestrian,size,small,254,0.6814,0.3681
V1,two-wheeler,size,small,489,0.6828,0.3874
V1,big-vehicle,size,medium,104,0.6918,0.4854
V1,car,size,medium,204,0.8963,0.6838
V1,pedestrian,size,medium,370,0.8025,0.4709
V1,two-wheeler,size,medium,206,0.7625,0.5109
V1,big-vehicle,size,large,35,0.7569,0.5095
V1,car,size,large,35,0.9767,0.7746
V1,pedestrian,size,large,0,nan,nan
V1,two-wheeler,size,large,0,nan,nan
V1,big-vehicle,occlusion,no,128,0.6281,0.4231
V1,car,occlusion,no,357,0.8353,0.6172
V1,pedestrian,occlusion,no,460,0.7454,0.4196
V1,two-wheeler,occlusion,no,631,0.7134,0.4321
V1,big-vehicle,occlusion,partial,24,0.7248,0.4755
V1,car,occlusion,partial,38,0.4960,0.2977
V1,pedestrian,occlusion,partial,162,0.4729,0.2308
V1,two-wheeler,occlusion,partial,64,0.1688,0.0668
V1,big-vehicle,occlusion,heavy,2,0.4951,0.2476
V1,car,occlusion,heavy,0,nan,nan
V1,pedestrian,occlusion,heavy,2,0.0159,0.0066
V1,two-wheeler,occlusion,heavy,0,nan,nan
V1,big-vehicle,density,sparse,87,0.7752,0.5560
V1,car,density,sparse,124,0.8818,0.6968
V1,pedestrian,density,sparse,12,0.6170,0.3611
V1,two-wheeler,density,sparse,221,0.7816,0.5089
V1,big-vehicle,density,medium,66,0.5607,0.3534
V1,car,density,medium,260,0.8330,0.5876
V1,pedestrian,density,medium,535,0.7625,0.4288
V1,two-wheeler,density,medium,453,0.6701,0.3837
V1,big-vehicle,density,dense,1,0.0000,0.0000
V1,car,density,dense,11,0.7833,0.4969
V1,pedestrian,density,dense,77,0.7259,0.4270
V1,two-wheeler,density,dense,21,0.6208,0.4148
V2,big-vehicle,global,all,154,0.6206,0.3957
V2,car,global,all,395,0.8056,0.5890
V2,pedestrian,global,all,624,0.7392,0.4269
V2,two-wheeler,global,all,695,0.6762,0.3941
V2,big-vehicle,size,small,15,0.2670,0.1984
V2,car,size,small,156,0.6505,0.4419
V2,pedestrian,size,small,254,0.6104,0.3508
V2,two-wheeler,size,small,489,0.6297,0.3479
V2,big-vehicle,size,medium,104,0.6387,0.3829
V2,car,size,medium,204,0.8855,0.6765
V2,pedestrian,size,medium,370,0.8467,0.4999
V2,two-wheeler,size,medium,206,0.7731,0.5027
V2,big-vehicle,size,large,35,0.7562,0.5467
V2,car,size,large,35,0.9711,0.7825
V2,pedestrian,size,large,0,nan,nan
V2,two-wheeler,size,large,0,nan,nan
V2,big-vehicle,occlusion,no,128,0.5673,0.3514
V2,car,occlusion,no,357,0.7983,0.5880
V2,pedestrian,occlusion,no,460,0.7272,0.4188
V2,two-wheeler,occlusion,no,631,0.6863,0.4060
V2,big-vehicle,occlusion,partial,24,0.6615,0.4319
