pair,family,metric,n,n_eff,W,p,p_holm,median_diff,mean_diff,rank_biserial,W_plus,W_minus,signif_5pct,min_n_gt,n_sel_dibuang,sel_dibuang
V8 vs V1,primary,ap50,24,24,79,0.0424892,,0.0207,0.0200068,0.473333,221,79,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V4 vs V1,primary,ap50,24,24,96,0.128027,,-0.0252843,-0.0163715,-0.36,96,204,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V8 vs V5,primary,ap50,24,24,60,0.0087148,,0.0410435,0.034755,0.6,240,60,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V1 vs V2,secondary,ap50,24,24,43,0.00139976,0.0223961,0.0226394,0.0255699,0.713333,257,43,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V1 vs V3,secondary,ap50,24,24,141,0.811536,1,0.00383076,0.00488999,0.06,159,141,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V1 vs V5,secondary,ap50,24,24,82,0.0526408,0.68433,0.0196719,0.0147481,0.453333,218,82,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V1 vs V6,secondary,ap50,24,24,10,5.126e-06,0.000123024,0.0727567,0.0848964,0.933333,290,10,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V1 vs V7,secondary,ap50,24,24,102,0.17798,1,0.0405314,0.0290393,0.32,198,102,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V2 vs V3,secondary,ap50,24,24,92,0.101096,1,-0.0302397,-0.0206799,-0.386667,92,208,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V2 vs V4,secondary,ap50,24,24,116,0.344877,1,-0.0139096,-0.00919838,-0.226667,116,184,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V2 vs V5,secondary,ap50,24,24,99,0.151501,1,-0.0194009,-0.0108217,-0.34,99,201,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
