pair,family,metric,n,n_eff,W,p,p_holm,median_diff,mean_diff,rank_biserial,W_plus,W_minus,signif_5pct,min_n_gt,n_sel_dibuang,sel_dibuang
V8 vs V1,primary,ap5095,24,24,88,0.0787293,,0.0207365,0.0164066,0.413333,212,88,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V4 vs V1,primary,ap5095,24,24,128,0.54567,,-0.0131631,-0.00464795,-0.146667,128,172,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V8 vs V5,primary,ap5095,24,24,71,0.0229321,,0.0275069,0.020617,0.526667,229,71,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V1 vs V2,secondary,ap5095,24,24,57,0.0065161,0.136838,0.0143672,0.0232541,0.62,243,57,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V1 vs V3,secondary,ap5095,24,24,149,0.988813,1,-0.00360864,0.000504581,-0.00666667,149,151,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V1 vs V5,secondary,ap5095,24,24,128,0.54567,1,0.00827315,0.00421041,0.146667,172,128,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V1 vs V6,secondary,ap5095,24,24,60,0.0087148,0.174296,0.0354214,0.0307301,0.6,240,60,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V1 vs V7,secondary,ap5095,24,24,121,0.422341,1,0.0131727,0.0137406,0.193333,179,121,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V2 vs V3,secondary,ap5095,24,24,76,0.0339851,0.543762,-0.0323006,-0.0227495,-0.493333,76,224,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V2 vs V4,secondary,ap5095,24,24,80,0.0456797,0.685195,-0.0273931,-0.0186061,-0.466667,80,220,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V2 vs V5,secondary,ap5095,24,24,82,0.0526408,0.736971,-0.0132225,-0.0190437,-0.453333,82,218,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V2 vs V6,secondary,ap5095,24,24,124,0.473166,1,0.000457148,0.00747602,0.173333,176,124,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
V2 vs V7,secondary,ap5095,24,24,121,0.422341,1,-0.00151053,-0.00951349,-0.193333,121,179,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=24); big-vehicle/size/small(n=15); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=12); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=0); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=0)
