pair,family,metric,n,n_eff,W,p,p_holm,median_diff,mean_diff,rank_biserial,W_plus,W_minus,signif_5pct,min_n_gt,n_sel_dibuang,sel_dibuang
V8 vs V1,primary,ap50,24,24,126,0.508766,,0.00193585,0.00218563,0.16,174,126,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V4 vs V1,primary,ap50,24,24,88,0.0787293,,-0.0212699,-0.0172042,-0.413333,88,212,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V8 vs V5,primary,ap50,24,24,72,0.0248636,,0.0226281,0.0215787,0.52,228,72,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V2,secondary,ap50,24,24,67,0.0164067,0.328133,0.0125492,0.014665,0.553333,233,67,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V3,secondary,ap50,24,24,103,0.187501,1,0.0130125,0.0201724,0.313333,197,103,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V5,secondary,ap50,24,24,82,0.0526408,0.686857,0.0109665,0.0193931,0.453333,218,82,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V6,secondary,ap50,24,24,10,5.126e-06,0.00012815,0.0340718,0.052014,0.933333,290,10,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V7,secondary,ap50,24,24,110,0.264343,1,0.0244038,0.0201443,0.266667,190,110,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V3,secondary,ap50,24,24,131,0.603311,1,0.0125304,0.00550741,0.126667,169,131,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V4,secondary,ap50,24,24,140,0.789838,1,0.00034839,0.00253923,0.0666667,160,140,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V5,secondary,ap50,24,24,131,0.603311,1,0.0001759,0.00472811,0.126667,169,131,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V6,secondary,ap50,24,24,39,0.000846267,0.0186179,0.0230833,0.0373491,0.74,261,39,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V7,secondary,ap50,24,24,140,0.789838,1,0.0112963,0.00547933,0.0666667,160,140,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V8,secondary,ap50,24,24,77,0.0366492,0.586388,-0.0224532,-0.0168506,-0.486667,77,223,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
