image,n_gt,dr,miss,dup,cm_mean
001--1-_jpg.rf.wkSeYcM5YoL66nCZGlH7.jpg,1,1.0,0,0,0.9001960158348083
001--2-_jpg.rf.7EHquHvIY9vsPYQbsvMP.jpg,2,0.5,1,0,0.48079924657940865
1-1_jpg.rf.dccCthVttEtDYGpWa56D.jpg,1,1.0,0,0,0.8772744536399841
101_1184_jpg.rf.mwnbApr7tM4bxHfAHISo.jpg,1,2.0,0,1,0.18152070045471191
101_1989_jpg.rf.aEBkTDHD43IXVUSlU5XM.jpg,2,1.5,0,1,0.4688149690628052
101_2257_jpg.rf.aHGbZRugV1vknghARKLe.jpg,1,1.0,0,0,0.9254397749900818
101_2265_jpg.rf.ic06sdv1YV1zRMcxMC61.jpg,1,1.0,0,0,0.9168368577957153
101_2269_jpg.rf.s076KlyzgjjVa3pQWZdN.jpg,1,1.0,0,0,0.9445343613624573
101_2281_jpg.rf.0vhB8rx1VydlzpMTug9i.jpg,2,1.0,0,0,0.6672044843435287
101_2285_jpg.rf.ilx7hI28oV2swsiqjL8y.jpg,1,1.0,0,0,0.919883668422699
1_1_jpg.rf.SZ7yetOhQSShmXal2O1J.jpg,1,1.0,0,0,0.8800204992294312
2005-mitsubishi-fuso-fm260-18ft-dies-1_jpg.rf.FFc03begTs8TdKM8pB5M.jpg,1,1.0,0,0,0.8522336483001709
2005-mitsubishi-fuso-fm260-18ft-dies-2_jpg.rf.p2kHTS3QvWRWWjkjyf5R.jpg,1,1.0,0,0,0.8673679828643799
2005-mitsubishi-fuso-fm260-18ft-dies-3_jpg.rf.2gHEqMSHoay5guuHWS4X.jpg,1,1.0,0,0,0.7316548824310303
2005-mitsubishi-fuso-fm260-18ft-dies_jpg.rf.kqzVHj7ekIbyccscNANB.jpg,1,1.0,0,0,0.8700790405273438
202005139300424_jpg.rf.Wed0Qpgi0K4kowc4EdsR.jpg,5,0.800000011920929,2,1,0.4109955634921789
202005139308815_jpg.rf.fMjFWT4ae0HhHQMVrg74.jpg,1,1.0,0,0,0.9082537293434143
202010265448683_jpg.rf.yDK15bISuiQP0Bd7bl4A.jpg,1,1.0,0,0,0.9195356965065002
202010265449562_jpg.rf.TLJ3BbNJTF54QVcVa218.jpg,1,1.0,0,0,0.8996945023536682
202012116998536_jpg.rf.AsG6uki2QsY8S2d1g0zP.jpg,1,1.0,0,0,0.8981776833534241
202012117003463_jpg.rf.0jxuAx9DqK3MuLNqEsKV.jpg,2,1.0,0,0,0.8962953984737396
202102179152860_jpg.rf.SR6UpCnkqtsz3sDYYMY9.jpg,4,0.5,3,1,0.06131740603450453
202102179155180_jpg.rf.826yWVJ35QykR4RrTlZD.jpg,1,1.0,0,0,0.9183017015457153
202102179161742_jpg.rf.Xm0Ye5i4jhrAQZjlPziB.jpg,1,1.0,0,0,0.9255139827728271
202102179168359_jpg.rf.JPNqX0WJjWu0CaaDAJ0j.jpg,2,0.5,1,0,0.49443478137254715
202102179172095_jpg.rf.8X8Or3tN3Ve2XUHLsExj.jpg,3,1.0,1,1,0.39739111391827464
202103190329292_jpg.rf.RT0UHVQBzQarDvHMk7aP.jpg,1,1.0,0,0,0.9262378215789795
202103190329782_jpg.rf.MyJaeNdadLEIhKZICcL4.jpg,2,0.5,1,0,0.5135149918496609
202103190333991_jpg.rf.D92w3ZYDjJZxyhO2ZqdA.jpg,1,1.0,0,0,0.9321765303611755
202103190333993_jpg.rf.wJkbdWwh9hqsDzWgCe6r.jpg,1,1.0,0,0,0.9352600574493408
202103190333994_jpg.rf.tfIuxqxEmQv3bLAdQpr3.jpg,1,1.0,0,0,0.9325252175331116
202103190333999_jpg.rf.ncyhpYHA7OIbdqWOJK3W.jpg,1,1.0,0,0,0.9391081929206848
