tau,V1,V2,V3,V4,V5,V6,V7,V8
0.05,0.9700,0.8746,0.9369,1.0088,1.0454,1.3827,0.9773,1.0223
0.1,0.8938,0.8038,0.8485,0.9258,0.9615,1.1635,0.9008,0.9492
0.15,0.8465,0.7581,0.7977,0.8781,0.9031,1.0358,0.8488,0.9031
0.2,0.8127,0.7250,0.7542,0.8435,0.8615,0.9485,0.7973,0.8669
0.25,0.7781,0.6938,0.7204,0.8054,0.8246,0.8746,0.7612,0.8327
0.3,0.7527,0.6642,0.6919,0.7762,0.7958,0.8115,0.7242,0.7958
0.4,0.6915,0.6231,0.6419,0.7169,0.7404,0.7154,0.6681,0.7377
0.5,0.6312,0.5738,0.5815,0.6558,0.6885,0.6173,0.6019,0.6904
0.6,0.5685,0.5204,0.5219,0.5935,0.6300,0.5077,0.5408,0.6381
0.7,0.4869,0.4558,0.4485,0.5146,0.5600,0.4023,0.4673,0.5527
0.8,0.3542,0.3577,0.3519,0.3935,0.4577,0.2712,0.3715,0.4408
0.9,0.1527,0.1873,0.1623,0.1719,0.2412,0.1338,0.1673,0.2558
